Feature ID,Feature Name,Feature count topic 1to7,Feature log2 fold change topic 1to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000228794,LINC01128,41,0.74144,25,-0.7414
ENSG00000188976,NOC2L,44,0.93281,23,-0.9328
ENSG00000188290,HES4,18,-0.7553,31,0.75538
ENSG00000187608,ISG15,34,0.00845,33,-0.0084
ENSG00000188157,AGRN,11,-0.9257,22,0.92579
ENSG00000078808,SDF4,46,0.10293,42,-0.1029
ENSG00000176022,B3GALT6,21,0.40817,16,-0.4081
ENSG00000160087,UBE2J2,34,0.61949,22,-0.6194
ENSG00000131584,ACAP3,50,-0.3237,62,0.32377
ENSG00000127054,INTS11,38,0.78070,22,-0.7807
ENSG00000224051,CPTP,19,0.20662,16,-0.2066
ENSG00000107404,DVL1,40,-0.3137,49,0.31378
ENSG00000175756,AURKAIP1,134,0.36194,104,-0.3619
ENSG00000221978,CCNL2,38,0.16964,34,-0.1696
ENSG00000242485,MRPL20,126,0.18865,111,-0.1886
ENSG00000235098,ANKRD65,25,0.05997,24,-0.0599
ENSG00000179403,VWA1,10,-1.5314,29,1.53149
ENSG00000205090,TMEM240,33,0.84542,18,-0.8454
ENSG00000160075,SSU72,126,0.12951,115,-0.1295
ENSG00000228594,FNDC10,27,0.12254,25,-0.1225
ENSG00000272106,AL691432.2,18,0.00586,18,-0.0058
ENSG00000197530,MIB2,19,-0.1906,22,0.19063
ENSG00000248333,CDK11B,43,-0.3595,56,0.35950
ENSG00000008128,CDK11A,18,-0.7087,29,0.70879
ENSG00000215790,SLC35E2A,27,0.01488,27,-0.0148
ENSG00000008130,NADK,24,0.38542,18,-0.3854
ENSG00000078369,GNB1,435,-0.0486,449,0.04867
ENSG00000187730,GABRD,178,1.20251,77,-1.2025
ENSG00000067606,PRKCZ,155,0.42018,116,-0.4201
ENSG00000162585,FAAP20,23,-1.0843,50,1.08436
ENSG00000157933,SKI,25,-0.9535,49,0.95357
ENSG00000157916,RER1,40,-0.0834,42,0.08346
ENSG00000157911,PEX10,16,-0.6690,25,0.66900
ENSG00000197921,HES5,10,-2.0991,43,2.09917
ENSG00000157870,PRXL2B,53,0.36817,41,-0.3681
ENSG00000177133,PRDM16-DT,12,-1.6963,39,1.69633
ENSG00000158109,TPRG1L,193,0.80519,110,-0.8051
ENSG00000130764,LRRC47,63,0.63345,40,-0.6334
ENSG00000116198,CEP104,29,-0.3978,38,0.39789
ENSG00000196581,AJAP1,51,0.81943,29,-0.8194
ENSG00000069424,KCNAB2,185,0.35300,144,-0.3530
ENSG00000116254,CHD5,272,0.22316,233,-0.2231
ENSG00000116251,RPL22,444,-0.4359,601,0.43597
ENSG00000116237,ICMT,41,0.85718,22,-0.8571
ENSG00000097021,ACOT7,212,1.79056,61,-1.7905
ENSG00000215788,TNFRSF25,15,0.19791,13,-0.1979
ENSG00000171680,PLEKHG5,28,0.62523,18,-0.6252
ENSG00000162408,NOL9,29,0.02181,28,-0.0218
ENSG00000162413,KLHL21,23,0.02622,22,-0.0262
ENSG00000116273,PHF13,17,1.04930,8,-1.0493
ENSG00000041988,THAP3,17,0.90586,9,-0.9058
ENSG00000007923,DNAJC11,30,0.27284,25,-0.2728
ENSG00000171735,CAMTA1,532,0.40891,401,-0.4089
ENSG00000049245,VAMP3,17,-0.7848,30,0.78480
ENSG00000049246,PER3,38,-0.6352,59,0.63525
ENSG00000116288,PARK7,270,0.03315,264,-0.0331
ENSG00000116285,ERRFI1,23,0.62587,15,-0.6258
ENSG00000162426,SLC45A1,27,1.08195,13,-1.0819
ENSG00000142599,RERE,142,-0.2693,171,0.26939
ENSG00000074800,ENO1,392,-0.4719,544,0.47190
ENSG00000171612,SLC25A33,27,-1.3614,71,1.36147
ENSG00000171603,CLSTN1,747,1.25080,313,-1.2508
ENSG00000178585,CTNNBIP1,18,-0.7484,30,0.74848
ENSG00000162441,LZIC,50,-0.5721,75,0.57211
ENSG00000130939,UBE4B,39,0.75396,23,-0.7539
ENSG00000054523,KIF1B,431,-0.0076,434,0.00761
ENSG00000142657,PGD,51,0.38595,39,-0.3859
ENSG00000241563,CORT,24,0.59271,16,-0.5927
ENSG00000160049,DFFA,32,-1.0047,65,1.00475
ENSG00000142655,PEX14,17,0.46392,12,-0.4639
ENSG00000120948,TARDBP,77,0.20174,67,-0.2017
ENSG00000116649,SRM,47,0.24004,40,-0.2400
ENSG00000171824,EXOSC10,25,-0.4093,33,0.40934
ENSG00000198793,MTOR,47,0.58486,31,-0.5848
ENSG00000116661,FBXO2,135,-0.8835,249,0.88357
ENSG00000132879,FBXO44,82,0.58691,54,-0.5869
ENSG00000177000,MTHFR,20,0.09758,18,-0.0975
ENSG00000011021,CLCN6,66,0.49359,47,-0.4935
ENSG00000116685,KIAA2013,28,0.49543,19,-0.4954
ENSG00000083444,PLOD1,13,-0.2655,16,0.26551
ENSG00000116688,MFN2,112,0.59724,74,-0.5972
ENSG00000048707,VPS13D,62,-0.0247,63,0.02470
ENSG00000162496,DHRS3,12,-1.5380,37,1.53806
ENSG00000116731,PRDM2,280,0.40614,211,-0.4061
ENSG00000189337,KAZN,49,-0.0673,51,0.06739
ENSG00000142634,EFHD2,44,-0.1024,48,0.10242
ENSG00000116138,DNAJC16,39,1.27542,16,-1.2754
ENSG00000197312,DDI2,41,0.46187,29,-0.4618
ENSG00000116786,PLEKHM2,86,-0.4955,122,0.49554
ENSG00000065526,SPEN,168,-0.2415,198,0.24150
ENSG00000116809,ZBTB17,15,-0.5069,21,0.50690
ENSG00000037637,FBXO42,18,0.44401,13,-0.4440
ENSG00000055070,SZRD1,20,-1.0779,42,1.07794
