Feature ID,Feature Name,Feature count topic 1to7,Feature log2 fold change topic 1to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,41,0.74144,29,-0.3207,20,-0.8517,25,-0.5970
ENSG00000188976,NOC2L,44,0.93281,22,-0.7820,21,-0.8554,24,-0.6634
ENSG00000188290,HES4,18,-0.7553,52,1.39940,40,0.91872,15,-0.6603
ENSG00000187608,ISG15,34,0.00845,61,0.96188,44,0.43884,14,-1.3559
ENSG00000188157,AGRN,11,-0.9257,19,0.35429,35,1.33925,17,0.21670
ENSG00000078808,SDF4,46,0.10293,34,-0.4268,58,0.41109,39,-0.2150
ENSG00000176022,B3GALT6,21,0.40817,17,-0.1535,18,-0.0583,14,-0.5612
ENSG00000160087,UBE2J2,34,0.61949,25,-0.2672,17,-0.8668,23,-0.4203
ENSG00000131584,ACAP3,50,-0.3237,67,0.34227,74,0.50217,54,-0.0137
ENSG00000127054,INTS11,38,0.78070,31,-0.0629,22,-0.5766,18,-1.0098
ENSG00000224051,CPTP,19,0.20662,18,-0.0225,16,-0.2080,16,-0.2022
ENSG00000107404,DVL1,40,-0.3137,36,-0.2753,78,0.95669,42,-0.0527
ENSG00000175756,AURKAIP1,134,0.36194,70,-0.8654,184,0.65163,81,-0.7047
ENSG00000221978,CCNL2,38,0.16964,41,0.19432,36,-0.0018,29,-0.4085
ENSG00000242485,MRPL20,126,0.18865,96,-0.3613,157,0.42496,95,-0.4090
ENSG00000235098,ANKRD65,25,0.05997,19,-0.4236,35,0.53780,21,-0.2448
ENSG00000179403,VWA1,10,-1.5314,35,1.18800,45,1.67691,18,0.12512
ENSG00000205090,TMEM240,33,0.84542,17,-0.6999,11,-1.3929,22,-0.3712
ENSG00000160075,SSU72,126,0.12951,109,-0.1726,162,0.45502,94,-0.4360
ENSG00000228594,FNDC10,27,0.12254,18,-0.5679,34,0.43465,23,-0.2015
ENSG00000272106,AL691432.2,18,0.00586,9,-1.0673,29,0.76073,17,-0.0946
ENSG00000197530,MIB2,19,-0.1906,20,0.00027,24,0.29807,21,0.11811
ENSG00000248333,CDK11B,43,-0.3595,105,1.31612,22,-1.1643,48,-0.0084
ENSG00000008128,CDK11A,18,-0.7087,80,2.26541,5,-2.2036,17,-0.4853
ENSG00000215790,SLC35E2A,27,0.01488,13,-1.1062,50,1.00463,22,-0.3353
ENSG00000008130,NADK,24,0.38542,26,0.29057,23,0.05928,12,-0.9843
ENSG00000078369,GNB1,435,-0.0486,315,-0.5208,694,0.74230,394,-0.1903
ENSG00000187730,GABRD,178,1.20251,59,-1.3415,81,-0.8674,85,-0.8614
ENSG00000067606,PRKCZ,155,0.42018,54,-1.4724,164,0.24148,123,-0.2358
ENSG00000162585,FAAP20,23,-1.0843,58,0.90444,53,0.76837,45,0.54344
ENSG00000157933,SKI,25,-0.9535,72,1.25340,52,0.69557,36,0.10990
ENSG00000157916,RER1,40,-0.0834,44,0.11557,65,0.76525,30,-0.5209
ENSG00000157911,PEX10,16,-0.6690,32,0.85365,29,0.67659,19,0.03241
ENSG00000197921,HES5,10,-2.0991,46,1.23937,66,1.90154,30,0.56188
ENSG00000157870,PRXL2B,53,0.36817,33,-0.6002,64,0.44152,34,-0.6319
ENSG00000177133,PRDM16-DT,12,-1.6963,48,1.31834,46,1.24648,31,0.64576
ENSG00000158109,TPRG1L,193,0.80519,72,-1.2438,174,0.10868,97,-0.8673
ENSG00000130764,LRRC47,63,0.63345,29,-0.9630,62,0.20494,35,-0.7452
ENSG00000116198,CEP104,29,-0.3978,85,1.62978,15,-1.1515,27,-0.3312
ENSG00000196581,AJAP1,51,0.81943,24,-0.8756,30,-0.5354,30,-0.5933
ENSG00000069424,KCNAB2,185,0.35300,86,-1.0537,287,0.85794,102,-0.8505
ENSG00000116254,CHD5,272,0.22316,169,-0.6520,114,-1.2480,324,0.41379
ENSG00000116251,RPL22,444,-0.4359,616,0.33307,642,0.39802,572,0.23831
ENSG00000116237,ICMT,41,0.85718,9,-1.9712,31,-0.1382,25,-0.5518
ENSG00000097021,ACOT7,212,1.79056,53,-1.6416,104,-0.6384,43,-2.0675
ENSG00000215788,TNFRSF25,15,0.19791,12,-0.2127,14,-0.0212,12,-0.1863
ENSG00000171680,PLEKHG5,28,0.62523,27,0.15654,19,-0.4083,13,-1.0005
ENSG00000162408,NOL9,29,0.02181,22,-0.3610,35,0.33919,27,-0.0610
ENSG00000162413,KLHL21,23,0.02622,25,0.14871,33,0.57131,16,-0.5690
ENSG00000116273,PHF13,17,1.04930,13,-0.1051,6,-1.2861,7,-1.1344
ENSG00000041988,THAP3,17,0.90586,15,0.04359,5,-1.4706,8,-0.9148
ENSG00000007923,DNAJC11,30,0.27284,25,-0.2157,21,-0.4383,27,-0.0862
ENSG00000171735,CAMTA1,532,0.40891,319,-0.6526,284,-0.8281,501,0.05696
ENSG00000049245,VAMP3,17,-0.7848,33,0.66985,42,1.05082,22,0.05179
ENSG00000049246,PER3,38,-0.6352,107,1.42423,35,-0.4234,48,0.07079
ENSG00000116288,PARK7,270,0.03315,211,-0.3759,472,0.92746,187,-0.6113
ENSG00000116285,ERRFI1,23,0.62587,12,-0.7151,16,-0.3077,15,-0.4723
ENSG00000162426,SLC45A1,27,1.08195,13,-0.7834,18,-0.3135,10,-1.2923
ENSG00000142599,RERE,142,-0.2693,202,0.45075,139,-0.1499,172,0.21393
ENSG00000074800,ENO1,392,-0.4719,554,0.34292,1006,1.36081,308,-0.6344
ENSG00000171612,SLC25A33,27,-1.3614,60,0.50953,147,2.13117,39,-0.1629
ENSG00000171603,CLSTN1,747,1.25080,307,-1.0062,365,-0.7436,291,-1.1705
ENSG00000178585,CTNNBIP1,18,-0.7484,16,-0.5353,35,0.73560,35,0.82529
ENSG00000162441,LZIC,50,-0.5721,104,0.92263,79,0.45592,58,-0.0240
ENSG00000130939,UBE4B,39,0.75396,12,-1.5295,29,-0.1777,25,-0.4685
ENSG00000054523,KIF1B,431,-0.0076,382,-0.1929,312,-0.5072,520,0.33284
ENSG00000142657,PGD,51,0.38595,27,-0.8190,60,0.40416,34,-0.5254
ENSG00000241563,CORT,24,0.59271,9,-1.2031,39,1.00313,7,-1.6483
ENSG00000160049,DFFA,32,-1.0047,76,0.87749,77,0.90280,54,0.35595
ENSG00000142655,PEX14,17,0.46392,12,-0.4446,16,0.07880,11,-0.5858
ENSG00000120948,TARDBP,77,0.20174,62,-0.2682,68,-0.1169,69,-0.1090
ENSG00000116649,SRM,47,0.24004,25,-0.8827,70,0.74599,32,-0.5598
ENSG00000171824,EXOSC10,25,-0.4093,52,1.04785,27,-0.0377,26,-0.1037
ENSG00000198793,MTOR,47,0.58486,32,-0.3879,50,0.31567,21,-1.0955
ENSG00000116661,FBXO2,135,-0.8835,239,0.49355,478,1.70522,139,-0.4028
ENSG00000132879,FBXO44,82,0.58691,33,-1.1696,69,-0.0633,58,-0.3819
ENSG00000177000,MTHFR,20,0.09758,27,0.55459,20,0.03871,13,-0.6123
ENSG00000011021,CLCN6,66,0.49359,23,-1.4456,52,-0.1884,56,-0.0911
ENSG00000116685,KIAA2013,28,0.49543,28,0.22910,23,-0.1189,13,-1.0129
ENSG00000083444,PLOD1,13,-0.2655,22,0.74648,20,0.55644,10,-0.5058
ENSG00000116688,MFN2,112,0.59724,49,-1.0715,95,-0.0472,75,-0.4428
ENSG00000048707,VPS13D,62,-0.0247,82,0.44230,56,-0.1628,57,-0.1591
ENSG00000162496,DHRS3,12,-1.5380,76,2.24546,49,1.38241,11,-1.0731
ENSG00000116731,PRDM2,280,0.40614,195,-0.4213,72,-1.9187,289,0.22384
ENSG00000189337,KAZN,49,-0.0673,57,0.20757,64,0.39652,42,-0.2803
ENSG00000142634,EFHD2,44,-0.1024,27,-0.7811,18,-1.4052,73,0.87007
ENSG00000116138,DNAJC16,39,1.27542,18,-0.8110,12,-1.4698,17,-0.9649
ENSG00000197312,DDI2,41,0.46187,29,-0.3782,15,-1.3426,37,0.01964
ENSG00000116786,PLEKHM2,86,-0.4955,69,-0.5605,110,0.15856,155,0.82356
ENSG00000065526,SPEN,168,-0.2415,326,0.98852,66,-1.5106,200,0.20316
ENSG00000116809,ZBTB17,15,-0.5069,23,0.45035,23,0.42127,20,0.25684
ENSG00000037637,FBXO42,18,0.44401,17,0.04084,19,0.25026,8,-1.0615
ENSG00000055070,SZRD1,20,-1.0779,62,1.32129,47,0.84225,30,0.12250
ENSG00000159363,ATP13A2,80,0.59639,38,-0.9523,63,-0.1649,55,-0.4104
ENSG00000117118,SDHB,62,0.45367,38,-0.5959,75,0.46361,34,-0.8293
ENSG00000117115,PADI2,28,-1.7439,134,1.57157,152,1.80288,49,-0.1274
ENSG00000179051,RCC2,22,0.61768,14,-0.4621,20,0.04248,12,-0.8419
ENSG00000074964,ARHGEF10L,12,-0.5294,11,-0.3490,20,0.58656,19,0.57445
ENSG00000117154,IGSF21,53,0.58544,26,-0.9021,44,-0.0610,35,-0.4788
ENSG00000159423,ALDH4A1,11,-1.4272,23,0.43958,42,1.41323,27,0.77904
ENSG00000127481,UBR4,36,-0.2467,76,1.12242,7,-2.5271,44,0.24293
ENSG00000127463,EMC1,32,0.28825,33,0.15469,19,-0.7465,27,-0.1972
ENSG00000053372,MRTO4,38,0.33377,42,0.27160,28,-0.3456,25,-0.5561
ENSG00000053371,AKR7A2,21,-1.1032,59,1.08783,75,1.52591,25,-0.3075
ENSG00000077549,CAPZB,173,0.32541,122,-0.4221,205,0.39527,112,-0.6044
ENSG00000173436,MICOS10,210,-0.3313,134,-0.8358,339,0.63389,291,0.43375
ENSG00000158747,NBL1,123,0.12046,124,0.05875,119,-0.0053,105,-0.2266
ENSG00000169914,OTUD3,16,0.41171,14,-0.0813,5,-1.4501,15,-0.0292
ENSG00000162545,CAMK2N1,1862,0.00082,1310,-0.5490,2833,0.68351,1650,-0.2100
ENSG00000090432,MUL1,15,0.18533,14,-0.0597,14,-0.0391,12,-0.2415
ENSG00000158828,PINK1,425,0.61472,177,-1.1425,432,0.24084,250,-0.6673
ENSG00000244038,DDOST,18,-0.2073,22,0.25400,44,1.39960,8,-1.3110
ENSG00000117245,KIF17,27,1.61774,6,-1.8440,7,-1.6100,11,-1.0298
ENSG00000189410,SH2D5,39,0.62280,29,-0.2445,42,0.32461,15,-1.3240
ENSG00000127483,HP1BP3,324,-0.1660,548,0.78695,219,-0.6765,344,0.02718
ENSG00000075151,EIF4G3,434,1.04011,278,-0.3755,128,-1.5464,219,-0.8057
ENSG00000117298,ECE1,10,-1.2151,58,2.29934,12,-0.4249,15,-0.1073
ENSG00000076864,RAP1GAP,94,0.45474,60,-0.5450,69,-0.3268,73,-0.2627
ENSG00000090686,USP48,87,0.35556,95,0.26947,34,-1.2824,71,-0.2045
ENSG00000070831,CDC42,188,0.63000,166,0.02036,140,-0.2500,90,-0.9996
ENSG00000004487,KDM1A,92,0.73578,51,-0.6887,65,-0.2926,53,-0.6830
ENSG00000169641,LUZP1,264,0.94106,187,-0.2355,51,-2.2010,155,-0.5752
ENSG00000125944,HNRNPR,153,0.42274,143,0.05523,106,-0.4151,103,-0.5098
ENSG00000204219,TCEA3,9,-1.6471,50,1.95912,18,0.13953,23,0.67860
ENSG00000117318,ID3,5,-2.8818,111,3.59985,29,0.76225,11,-0.7727
ENSG00000142676,RPL11,306,-0.7840,531,0.51559,658,0.87433,459,0.30985
ENSG00000011007,ELOA,33,0.18490,36,0.24812,25,-0.3181,26,-0.2865
ENSG00000057757,PITHD1,150,0.94211,43,-1.6043,126,0.03159,71,-0.9268
ENSG00000011009,LYPLA2,21,0.42598,11,-0.7353,21,0.14981,14,-0.4265
ENSG00000117308,GALE,13,-0.1022,16,0.32462,7,-0.9472,16,0.34045
ENSG00000117305,HMGCL,11,-1.0091,42,1.76296,26,0.92378,10,-0.6765
ENSG00000189266,PNRC2,61,0.12552,55,-0.1149,79,0.45527,45,-0.4653
ENSG00000188529,SRSF10,67,0.09232,92,0.54793,38,-0.8448,60,-0.1312
ENSG00000001461,NIPAL3,100,0.33007,100,0.11442,106,0.20578,57,-0.8254
ENSG00000133226,SRRM1,207,-0.4036,600,1.62594,112,-1.1180,191,-0.3257
ENSG00000169504,CLIC4,15,-1.5902,94,2.17137,48,0.91768,24,-0.1907
ENSG00000117614,SYF2,134,-0.2073,233,0.81326,115,-0.3284,136,-0.0743
ENSG00000117616,RSRP1,44,-0.0012,82,1.01738,46,0.07294,24,-0.9948
ENSG00000183726,TMEM50A,72,0.25839,56,-0.2781,71,0.08620,56,-0.3198
ENSG00000204178,MACO1,79,0.24496,102,0.49085,35,-1.1414,65,-0.2359
ENSG00000117643,MAN1C1,41,1.00309,31,-0.1107,22,-0.6615,14,-1.4006
ENSG00000162430,SELENON,11,-1.4671,38,1.15170,46,1.48953,22,0.27019
ENSG00000117640,MTFR1L,63,0.49533,41,-0.4941,66,0.25230,36,-0.7639
ENSG00000117632,STMN1,1376,1.25566,380,-1.6022,670,-0.7488,627,-0.9207
ENSG00000158008,EXTL1,29,-0.0708,20,-0.5683,33,0.18162,34,0.25875
ENSG00000175087,PDIK1L,16,0.30018,5,-1.6230,20,0.44643,14,-0.1630
ENSG00000142684,ZNF593,26,0.44620,19,-0.2832,34,0.58683,11,-1.1862
ENSG00000142669,SH3BGRL3,121,0.07216,122,0.04292,154,0.41350,92,-0.4345
ENSG00000158062,UBXN11,12,-0.2962,14,0.06942,21,0.66156,13,-0.0098
ENSG00000117682,DHDDS,13,-0.2940,7,-1.0255,20,0.57753,18,0.46954
ENSG00000198830,HMGN2,135,-0.6783,224,0.49149,299,0.97315,173,0.08080
ENSG00000117713,ARID1A,57,-0.3661,111,0.92733,62,-0.0161,60,-0.0735
ENSG00000204160,ZDHHC18,19,0.30821,32,0.93836,12,-0.5610,9,-1.1420
ENSG00000142751,GPN2,16,-0.2343,31,0.94890,15,-0.2475,15,-0.1958
ENSG00000090273,NUDC,235,0.46507,164,-0.4007,172,-0.3230,173,-0.3515
ENSG00000253368,TRNP1,52,0.40562,30,-0.6992,50,0.08576,38,-0.3620
ENSG00000090020,SLC9A1,23,0.69898,9,-1.1233,13,-0.6936,17,-0.2413
ENSG00000142784,WDTC1,23,-0.3530,20,-0.4138,33,0.41737,33,0.46137
ENSG00000186501,TMEM222,30,-0.0664,33,0.12213,28,-0.1226,32,0.09745
ENSG00000158195,WASF2,17,-2.1126,155,2.50371,67,0.91320,41,0.09249
ENSG00000126705,AHDC1,37,0.11502,35,-0.0189,32,-0.1561,34,-0.0850
ENSG00000126709,IFI6,113,0.40441,90,-0.2059,100,-0.0347,75,-0.5367
ENSG00000009780,FAM76A,22,0.06544,26,0.25275,16,-0.4693,21,-0.0238
ENSG00000117758,STX12,88,0.09394,83,-0.0514,107,0.35133,70,-0.3603
ENSG00000117751,PPP1R8,27,0.09937,22,-0.3195,37,0.50864,22,-0.3426
ENSG00000117748,RPA2,42,0.58466,49,0.45227,22,-0.7833,20,-0.9897
ENSG00000126698,DNAJC8,319,0.45007,280,-0.0433,185,-0.6874,234,-0.3553
ENSG00000130770,ATP5IF1,441,0.83500,210,-0.8778,405,0.14125,187,-1.1387
ENSG00000204138,PHACTR4,23,-1.2399,112,2.05181,20,-0.8309,43,0.41098
ENSG00000180098,TRNAU1AP,12,-0.1231,6,-1.0430,18,0.56866,15,0.24244
ENSG00000198492,YTHDF2,110,1.12653,55,-0.7347,40,-1.2190,53,-0.8528
ENSG00000159023,EPB41,27,0.03252,38,0.60376,2,-3.6008,32,0.32996
ENSG00000116350,SRSF4,63,-0.4261,118,0.82116,66,-0.1258,78,0.17181
ENSG00000116353,MECR,33,1.09560,12,-1.2591,18,-0.5840,16,-0.8709
ENSG00000162511,LAPTM5,8,-1.6387,43,1.80296,35,1.39739,14,-0.0867
ENSG00000162512,SDC3,118,-0.4246,166,0.35966,208,0.72771,130,-0.0346
ENSG00000134644,PUM1,161,0.05043,177,0.17189,111,-0.5604,166,0.08581
ENSG00000060688,SNRNP40,14,-0.4662,35,1.28675,14,-0.2416,15,-0.1479
ENSG00000121766,ZCCHC17,152,0.50135,110,-0.3285,96,-0.5455,112,-0.3358
ENSG00000121769,FABP3,90,1.35827,26,-1.5014,42,-0.7939,36,-1.1053
ENSG00000162517,PEF1,64,0.67929,33,-0.7724,47,-0.2408,39,-0.5768
ENSG00000084636,COL16A1,13,-0.6294,26,0.80084,36,1.31861,11,-0.6879
ENSG00000121753,ADGRB2,176,0.54599,88,-0.8708,192,0.33763,100,-0.7424
ENSG00000184007,PTP4A2,217,-0.0225,203,-0.1118,204,-0.1046,237,0.14708
ENSG00000121774,KHDRBS1,143,0.15210,121,-0.1991,157,0.20818,118,-0.2666
ENSG00000025800,KPNA6,94,0.72732,54,-0.6235,54,-0.6102,59,-0.5202
ENSG00000084652,TXLNA,22,-0.2926,29,0.32400,26,0.11068,27,0.19710
ENSG00000160050,CCDC28B,14,-0.7649,24,0.46823,36,1.17034,18,0.05360
ENSG00000084623,EIF3I,115,0.38591,107,0.01997,120,0.20513,63,-0.8636
ENSG00000175130,MARCKSL1,109,-1.1985,277,0.90169,421,1.65240,150,-0.1096
ENSG00000160058,BSDC1,40,-0.1725,50,0.26143,39,-0.1030,46,0.16564
ENSG00000160062,ZBTB8A,26,0.26806,41,0.84447,14,-0.8505,15,-0.7452
ENSG00000176261,ZBTB8OS,35,0.39444,14,-1.2346,47,0.61235,23,-0.5771
ENSG00000162521,RBBP4,132,-0.0041,200,0.67688,125,-0.0794,101,-0.4489
ENSG00000162522,KIAA1522,19,0.03084,9,-1.1150,35,1.03132,15,-0.3914
ENSG00000134684,YARS,109,1.39684,34,-1.3652,62,-0.4697,34,-1.4840
ENSG00000160097,FNDC5,28,0.18831,19,-0.5592,25,-0.1214,28,0.04268
ENSG00000121905,HPCA,131,0.55851,40,-1.6230,127,0.14580,94,-0.3498
ENSG00000121900,TMEM54,32,-0.4456,40,0.17327,53,0.62808,40,0.19190
ENSG00000004455,AK2,22,-0.1640,20,-0.2372,38,0.80221,21,-0.1836
ENSG00000160094,ZNF362,13,-0.7843,19,0.26064,26,0.74249,22,0.55174
ENSG00000134686,PHC2,42,0.39004,32,-0.2923,36,-0.1156,30,-0.4055
ENSG00000163866,SMIM12,48,0.93410,21,-0.9421,33,-0.2898,23,-0.9195
ENSG00000116544,DLGAP3,39,-0.4659,26,-0.8598,97,1.26853,48,0.12210
ENSG00000163867,ZMYM6,24,0.39345,24,0.17854,18,-0.2663,15,-0.6411
ENSG00000116560,SFPQ,226,-0.2481,489,1.16890,117,-1.1096,235,-0.0527
ENSG00000146463,ZMYM4,80,-0.0089,89,0.16245,41,-1.0249,96,0.32353
ENSG00000142687,KIAA0319L,52,-0.0341,57,0.14240,39,-0.4641,58,0.18910
ENSG00000020129,NCDN,530,1.50656,102,-2.0871,319,-0.3734,162,-1.5012
ENSG00000126067,PSMB2,87,0.81471,71,-0.0435,59,-0.3443,34,-1.2816
ENSG00000142686,C1orf216,89,1.25346,37,-0.9599,54,-0.4050,28,-1.4707
ENSG00000134698,AGO4,12,-0.4068,26,1.06293,18,0.41869,10,-0.4452
ENSG00000092847,AGO1,33,-0.2130,40,0.22402,43,0.35289,35,-0.0116
ENSG00000126070,AGO3,44,-0.2858,96,1.14873,46,-0.0687,37,-0.4242
ENSG00000054116,TRAPPC3,41,0.62528,29,-0.3517,28,-0.4176,25,-0.5983
ENSG00000116871,MAP7D1,164,0.44065,86,-0.8440,185,0.35305,106,-0.5693
ENSG00000054118,THRAP3,214,0.26127,289,0.58647,119,-0.8052,153,-0.4710
ENSG00000181817,LSM10,40,1.15027,8,-1.9985,30,-0.0638,16,-1.1157
ENSG00000116885,OSCP1,17,1.03117,5,-1.4998,10,-0.4944,9,-0.7309
ENSG00000116898,MRPS15,50,0.69571,27,-0.7329,55,0.38958,21,-1.1997
ENSG00000163875,MEAF6,112,0.67627,74,-0.4205,77,-0.3642,65,-0.6802
ENSG00000163877,SNIP1,18,0.68043,2,-2.8388,14,-0.1364,14,-0.1624
ENSG00000134697,GNL2,38,0.79514,26,-0.3595,14,-1.2051,24,-0.5240
ENSG00000116922,C1orf109,15,0.30153,3,-2.1155,19,0.42393,14,-0.0578
ENSG00000185090,MANEAL,25,1.04324,6,-1.7138,22,0.13588,9,-1.1945
ENSG00000197982,C1orf122,113,-0.6182,119,-0.1975,268,1.14134,153,0.22645
ENSG00000188786,MTF1,11,-0.5518,20,0.65236,16,0.23670,16,0.29819
ENSG00000183431,SF3A3,48,0.14048,63,0.49319,44,-0.0980,34,-0.5399
ENSG00000183520,UTP11,61,0.50565,64,0.25807,37,-0.5779,35,-0.7406
ENSG00000185668,POU3F1,18,1.18423,9,-0.7349,7,-1.0994,8,-1.0053
ENSG00000116954,RRAGC,52,0.62370,48,0.10733,52,0.23451,17,-1.6064
ENSG00000174574,AKIRIN1,71,0.42775,60,-0.1143,64,-0.0065,43,-0.6633
ENSG00000168653,NDUFS5,598,0.59209,275,-0.9965,583,0.16844,364,-0.6227
ENSG00000127603,MACF1,282,-1.0245,1009,1.62619,241,-0.7394,524,0.54758
ENSG00000090621,PABPC4,55,-0.5634,118,0.96931,72,0.15638,70,0.11366
ENSG00000116983,HPCAL4,267,-0.0250,249,-0.1241,361,0.47497,239,-0.2054
ENSG00000084072,PPIE,33,0.50477,33,0.18193,35,0.29128,12,-1.4300
ENSG00000131236,CAP1,185,0.40834,220,0.42729,164,-0.0389,87,-1.1032
ENSG00000131238,PPT1,134,0.21234,140,0.14924,159,0.34912,82,-0.7391
ENSG00000117000,RLF,34,0.10845,57,0.90245,7,-2.2706,31,-0.1316
ENSG00000084073,ZMPSTE24,28,-0.0893,18,-0.6834,43,0.66921,29,0.00430
ENSG00000084070,SMAP2,218,1.44724,61,-1.5379,68,-1.3890,95,-0.9497
ENSG00000117016,RIMS3,157,0.26927,86,-0.8442,167,0.19749,135,-0.1589
ENSG00000066136,NFYC,32,0.55968,20,-0.4879,37,0.44278,14,-1.1131
ENSG00000127124,HIVEP3,18,-0.1668,5,-2.0435,20,0.06028,29,0.75462
ENSG00000198815,FOXJ3,47,0.53680,25,-0.7700,32,-0.4193,36,-0.2481
ENSG00000177181,RIMKLA,55,0.79445,17,-1.4896,31,-0.6234,39,-0.3047
ENSG00000127125,PPCS,62,0.41735,43,-0.4080,54,-0.0844,44,-0.4087
ENSG00000186409,CCDC30,72,0.01297,81,0.18776,21,-1.8623,92,0.44730
ENSG00000065978,YBX1,70,-1.2782,226,1.25904,170,0.76608,142,0.52602
ENSG00000164008,C1orf50,19,0.64083,4,-2.0731,22,0.44314,11,-0.6335
ENSG00000177868,SVBP,38,0.56473,22,-0.6246,24,-0.5506,28,-0.2893
ENSG00000117394,SLC2A1,20,-1.7642,162,2.61832,53,0.51013,33,-0.2779
ENSG00000117395,EBNA1BP2,106,1.22893,43,-1.0117,54,-0.6909,41,-1.1604
ENSG00000066322,ELOVL1,15,-0.3763,34,1.13921,20,0.25231,13,-0.4620
ENSG00000159479,MED8,25,1.11829,18,-0.1379,9,-1.1355,9,-1.3238
ENSG00000142949,PTPRF,115,0.53948,90,-0.1966,101,-0.0166,63,-0.8172
ENSG00000066135,KDM4A,17,0.08242,24,0.54774,16,-0.0884,12,-0.4850
ENSG00000126091,ST3GAL3,23,-0.1796,17,-0.5027,36,0.64230,26,0.09654
ENSG00000117408,IPO13,37,-0.0519,22,-0.8139,72,1.07082,30,-0.3946
ENSG00000117410,ATP6V0B,403,1.39699,142,-1.2065,212,-0.6013,128,-1.4560
