Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to10,Feature log2 fold change topic 4to10
ENSG00000188976,NOC2L,47,-0.7108,78,0.71089
ENSG00000078808,SDF4,115,0.78694,66,-0.7869
ENSG00000160087,UBE2J2,86,0.70106,53,-0.7010
ENSG00000131584,ACAP3,131,-0.3261,164,0.32614
ENSG00000127054,INTS11,75,0.66552,47,-0.6655
ENSG00000107404,DVL1,45,-0.5553,67,0.55539
ENSG00000175756,AURKAIP1,78,-0.5103,111,0.51033
ENSG00000221978,CCNL2,118,1.20899,51,-1.2089
ENSG00000242485,MRPL20,110,-0.0053,111,0.00530
ENSG00000235098,ANKRD65,52,0.05285,50,-0.0528
ENSG00000179403,VWA1,199,2.56617,33,-2.5661
ENSG00000160075,SSU72,110,-0.6347,171,0.63475
ENSG00000228594,FNDC10,21,-1.4568,58,1.45688
ENSG00000197530,MIB2,54,-0.1174,59,0.11746
ENSG00000248333,CDK11B,77,-0.3351,98,0.33511
ENSG00000008128,CDK11A,66,0.30792,53,-0.3079
ENSG00000078369,GNB1,262,-0.8075,460,0.80752
ENSG00000187730,GABRD,8,-4.5894,206,4.58945
ENSG00000067606,PRKCZ,204,-0.1447,225,0.14470
ENSG00000162585,FAAP20,53,0.05585,51,-0.0558
ENSG00000157933,SKI,62,-0.6087,95,0.60878
ENSG00000157916,RER1,74,0.53767,51,-0.5376
ENSG00000157870,PRXL2B,8,-3.2318,76,3.23182
ENSG00000177133,PRDM16-DT,4,-4.0262,65,4.02627
ENSG00000158109,TPRG1L,54,-1.7597,183,1.75976
ENSG00000130764,LRRC47,98,0.26706,82,-0.2670
ENSG00000116198,CEP104,62,0.34834,48,-0.3483
ENSG00000196581,AJAP1,20,-1.9069,75,1.90695
ENSG00000069424,KCNAB2,88,-1.1192,191,1.11929
ENSG00000116254,CHD5,203,-1.4272,546,1.42725
ENSG00000116251,RPL22,439,0.53013,304,-0.5301
ENSG00000116237,ICMT,27,-0.6206,42,0.62060
ENSG00000097021,ACOT7,50,-0.9330,95,0.93306
ENSG00000171680,PLEKHG5,22,-1.5312,65,1.53125
ENSG00000162408,NOL9,46,-0.1502,51,0.15024
ENSG00000007923,DNAJC11,38,-0.5853,57,0.58535
ENSG00000171735,CAMTA1,193,-1.4322,521,1.43220
ENSG00000049245,VAMP3,141,2.13375,32,-2.1337
ENSG00000049246,PER3,39,-0.4240,53,0.42408
ENSG00000116288,PARK7,76,-0.7684,129,0.76848
ENSG00000142599,RERE,97,-1.0955,208,1.09559
ENSG00000074800,ENO1,277,-0.6567,437,0.65676
ENSG00000171612,SLC25A33,23,-1.3675,60,1.36759
ENSG00000171603,CLSTN1,224,-1.6981,729,1.69811
ENSG00000178585,CTNNBIP1,69,0.52755,48,-0.5275
ENSG00000162441,LZIC,84,0.38534,64,-0.3853
ENSG00000130939,UBE4B,48,0.58827,32,-0.5882
ENSG00000054523,KIF1B,574,0.05493,553,-0.0549
ENSG00000142657,PGD,60,0.18797,52,-0.1879
ENSG00000160049,DFFA,41,-0.7177,68,0.71776
ENSG00000120948,TARDBP,61,-0.3334,77,0.33340
ENSG00000116649,SRM,40,-0.8673,74,0.86731
ENSG00000171824,EXOSC10,34,-0.5201,49,0.52018
ENSG00000116661,FBXO2,68,-1.2136,159,1.21365
ENSG00000132879,FBXO44,59,-1.1681,134,1.16817
ENSG00000011021,CLCN6,49,-0.4095,65,0.40950
ENSG00000116685,KIAA2013,89,0.86304,49,-0.8630
ENSG00000116688,MFN2,94,-0.5666,139,0.56667
ENSG00000048707,VPS13D,79,-0.4918,111,0.49183
ENSG00000162496,DHRS3,20,-1.3016,50,1.30163
ENSG00000116731,PRDM2,213,-0.7450,357,0.74509
ENSG00000189337,KAZN,130,1.27323,53,-1.2732
ENSG00000142634,EFHD2,68,-0.3299,85,0.32994
ENSG00000197312,DDI2,23,-1.4000,61,1.40003
ENSG00000116786,PLEKHM2,69,-1.7179,227,1.71797
ENSG00000065526,SPEN,352,0.44207,259,-0.4420
ENSG00000055070,SZRD1,67,-0.0637,70,0.06379
ENSG00000159363,ATP13A2,61,-0.6701,98,0.67019
ENSG00000117115,PADI2,375,2.19286,82,-2.1928
ENSG00000117154,IGSF21,18,-1.7394,62,1.73941
ENSG00000159423,ALDH4A1,17,-1.4803,50,1.48034
ENSG00000127481,UBR4,107,0.70262,66,-0.7026
ENSG00000127463,EMC1,18,-1.3016,45,1.30160
ENSG00000053372,MRTO4,30,-1.3111,74,1.31113
ENSG00000077549,CAPZB,72,-1.1058,156,1.10585
ENSG00000173436,MICOS10,122,-0.4330,165,0.43302
ENSG00000158747,NBL1,74,-1.5309,215,1.53097
ENSG00000162545,CAMK2N1,865,-0.9063,1621,0.90633
ENSG00000158828,PINK1,298,-0.1726,336,0.17264
ENSG00000127483,HP1BP3,327,-0.1255,357,0.12555
ENSG00000075151,EIF4G3,139,-0.7321,231,0.73210
ENSG00000117298,ECE1,37,-0.5066,53,0.50663
ENSG00000076864,RAP1GAP,56,-0.7287,92,0.72877
ENSG00000090686,USP48,185,1.36720,71,-1.3672
ENSG00000070831,CDC42,233,0.58301,155,-0.5830
ENSG00000004487,KDM1A,51,-0.6262,79,0.62629
ENSG00000169641,LUZP1,72,-1.4325,195,1.43255
ENSG00000125944,HNRNPR,141,-0.0868,150,0.08682
ENSG00000142676,RPL11,417,0.87933,227,-0.8793
ENSG00000011007,ELOA,17,-1.2425,40,1.24255
ENSG00000057757,PITHD1,130,-0.0077,131,0.00778
ENSG00000189266,PNRC2,68,0.73589,40,-0.7358
ENSG00000188529,SRSF10,221,0.85231,122,-0.8523
ENSG00000001461,NIPAL3,336,1.45997,122,-1.4599
ENSG00000133226,SRRM1,511,0.96439,262,-0.9643
ENSG00000169504,CLIC4,426,3.42734,39,-3.4273
ENSG00000117614,SYF2,188,0.19136,165,-0.1913
ENSG00000183726,TMEM50A,78,0.58681,51,-0.5868
ENSG00000204178,MACO1,71,-0.4908,100,0.49083
ENSG00000162430,SELENON,56,0.48798,40,-0.4879
ENSG00000117640,MTFR1L,50,-0.4463,68,0.44634
ENSG00000117632,STMN1,788,0.49971,557,-0.4997
ENSG00000142669,SH3BGRL3,190,0.52042,132,-0.5204
ENSG00000198830,HMGN2,224,1.08343,105,-1.0834
ENSG00000117713,ARID1A,227,0.76962,133,-0.7696
ENSG00000142751,GPN2,29,-0.5306,43,0.53069
ENSG00000090273,NUDC,78,-1.5134,224,1.51344
ENSG00000253368,TRNP1,0,-6.0388,43,6.03881
ENSG00000142784,WDTC1,21,-1.2770,51,1.27702
ENSG00000186501,TMEM222,123,0.76938,72,-0.7693
ENSG00000158195,WASF2,229,0.80216,131,-0.8021
ENSG00000126705,AHDC1,97,-0.2938,119,0.29384
ENSG00000126709,IFI6,120,0.20939,104,-0.2093
ENSG00000117758,STX12,118,0.20491,103,-0.2049
ENSG00000117751,PPP1R8,89,1.15370,40,-1.1537
ENSG00000126698,DNAJC8,143,-0.7938,249,0.79387
ENSG00000130770,ATP5IF1,94,-0.6379,147,0.63792
ENSG00000204138,PHACTR4,96,0.46543,70,-0.4654
ENSG00000198492,YTHDF2,59,-0.8855,110,0.88558
ENSG00000116350,SRSF4,162,-0.1138,175,0.11382
ENSG00000162512,SDC3,176,-0.1186,191,0.11863
ENSG00000134644,PUM1,172,-0.2404,203,0.24044
ENSG00000121766,ZCCHC17,172,0.07700,163,-0.0770
ENSG00000162517,PEF1,35,-0.8202,61,0.82022
ENSG00000084636,COL16A1,128,1.97174,32,-1.9717
ENSG00000121753,ADGRB2,130,-1.0209,265,1.02093
ENSG00000184007,PTP4A2,1228,2.03902,298,-2.0390
ENSG00000121774,KHDRBS1,115,-0.2672,139,0.26725
ENSG00000025800,KPNA6,126,-0.0571,131,0.05712
ENSG00000084652,TXLNA,54,0.29710,44,-0.2971
ENSG00000084623,EIF3I,81,-0.2031,93,0.20317
