Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,10,-1.8711,46,1.35639,24,-0.6273,18,-1.0898
ENSG00000188976,NOC2L,21,-0.9751,48,1.12074,18,-1.1951,27,-0.6163
ENSG00000188290,HES4,5,-2.5019,25,-0.4891,29,0.03433,72,1.61810
ENSG00000187608,ISG15,41,0.22550,30,-0.6139,38,0.09937,61,0.88821
ENSG00000188157,AGRN,14,-0.5298,20,0.05409,15,-0.3925,28,0.59074
ENSG00000078808,SDF4,58,-0.0668,62,0.10291,46,-0.4527,70,0.22371
ENSG00000176022,B3GALT6,13,-0.9541,25,0.25200,30,0.35986,21,-0.2209
ENSG00000160087,UBE2J2,31,-0.1147,32,-0.1649,33,-0.0144,43,0.44696
ENSG00000131584,ACAP3,39,-0.8867,73,0.22464,84,0.30734,64,-0.1319
ENSG00000127054,INTS11,31,-0.3312,43,0.58485,27,-0.5320,27,-0.5222
ENSG00000224051,CPTP,9,-1.1015,21,0.86961,7,-1.3702,18,0.03718
ENSG00000107404,DVL1,24,-1.0349,43,-0.3577,54,0.22287,88,1.05088
ENSG00000175756,AURKAIP1,87,-0.8616,163,0.36652,129,-0.2590,164,0.13244
ENSG00000221978,CCNL2,70,0.31511,60,0.10864,41,-0.5313,54,-0.1282
ENSG00000242485,MRPL20,119,-0.4650,165,0.17798,167,0.07723,153,-0.0617
ENSG00000235098,ANKRD65,56,0.90353,31,-0.2421,28,-0.2458,25,-0.3962
ENSG00000179403,VWA1,151,3.29431,10,-2.6702,30,-0.0192,27,-0.1652
ENSG00000205090,TMEM240,1,-4.0862,29,1.69951,14,-0.7308,11,-1.0736
ENSG00000160075,SSU72,78,-1.0441,172,0.59444,135,-0.1927,127,-0.2852
ENSG00000228594,FNDC10,4,-2.8149,29,0.56708,35,0.53031,19,-0.4856
ENSG00000272106,AL691432.2,26,0.12010,25,0.18580,26,0.08509,15,-0.7613
ENSG00000197530,MIB2,11,-1.1629,27,0.91816,28,0.34446,4,-2.6606
ENSG00000248333,CDK11B,56,0.93499,26,-0.7386,34,0.06522,43,0.45518
ENSG00000008128,CDK11A,22,0.41673,17,0.02535,11,-0.6622,17,0.03071
ENSG00000215790,SLC35E2A,15,-0.4002,17,-0.4472,35,0.96025,22,0.16895
ENSG00000008130,NADK,17,-0.4824,25,0.22653,22,-0.0931,24,0.01850
ENSG00000078369,GNB1,267,-1.1774,552,-0.1124,901,0.77810,623,0.15231
ENSG00000187730,GABRD,7,-4.6751,232,1.98216,96,-0.9352,72,-1.3705
ENSG00000067606,PRKCZ,86,-1.1249,198,0.58111,236,0.48369,75,-1.3254
ENSG00000162585,FAAP20,29,-0.1680,23,-1.1190,50,0.70350,75,1.42563
ENSG00000157933,SKI,31,0.24416,21,-0.9283,32,0.27554,55,1.23396
ENSG00000157916,RER1,49,-0.2241,62,0.38176,32,-0.9181,61,0.10649
ENSG00000157911,PEX10,25,0.12242,20,-0.4613,25,0.10155,35,0.70931
ENSG00000157881,PANK4,9,-0.8175,20,1.39038,8,-1.0533,5,-1.6962
ENSG00000157870,PRXL2B,11,-2.1638,56,0.86242,45,-0.0899,36,-0.4571
ENSG00000177133,PRDM16-DT,3,-2.7548,15,-1.2476,29,0.50905,73,2.25443
ENSG00000158109,TPRG1L,65,-1.8665,260,0.94769,195,-0.1804,144,-0.6585
ENSG00000130764,LRRC47,41,-0.9621,84,0.47155,71,-0.1011,68,-0.1641
ENSG00000116198,CEP104,82,1.58153,26,-0.8506,35,0.11474,24,-0.4717
ENSG00000198912,C1orf174,15,-0.1044,18,0.66772,10,-0.6358,8,-0.9497
ENSG00000196581,AJAP1,23,-1.0713,59,1.32028,34,-0.5077,12,-2.0215
ENSG00000069424,KCNAB2,32,-2.7779,233,0.72279,253,0.36857,137,-0.6108
ENSG00000116254,CHD5,26,-2.8509,191,0.58536,260,0.71264,96,-0.8971
ENSG00000116251,RPL22,780,0.48564,449,-0.9126,964,0.85270,794,0.51724
ENSG00000116237,ICMT,23,-0.8601,46,0.55818,44,0.11269,26,-0.7316
ENSG00000097021,ACOT7,52,-2.3111,310,1.82197,128,-0.9613,83,-1.6229
ENSG00000215788,TNFRSF25,7,-1.5556,24,0.94393,14,-0.5515,15,-0.3929
ENSG00000171680,PLEKHG5,0,-5.8468,32,1.33469,17,-0.6015,20,-0.3885
ENSG00000162408,NOL9,28,-0.0205,29,0.04449,30,0.05442,26,-0.1395
ENSG00000162413,KLHL21,34,0.00373,33,-0.1727,24,-0.5722,53,0.72807
ENSG00000116273,PHF13,11,-0.4723,17,0.62494,14,-0.0998,7,-1.0286
ENSG00000041988,THAP3,14,-0.3401,18,0.23363,19,0.10422,14,-0.3370
ENSG00000007923,DNAJC11,21,-0.6809,34,0.17157,26,-0.3658,44,0.45977
ENSG00000171735,CAMTA1,174,-1.2930,433,0.40108,518,0.43569,292,-0.4944
ENSG00000049245,VAMP3,152,2.73581,15,-2.3524,11,-1.7821,76,1.24999
ENSG00000049246,PER3,62,0.29690,41,-0.8519,43,-0.2902,117,1.40356
ENSG00000116288,PARK7,235,-0.5845,351,0.15021,312,-0.1382,403,0.27867
ENSG00000116285,ERRFI1,24,-0.1365,28,0.33350,25,-0.0597,17,-0.6266
ENSG00000162426,SLC45A1,10,-1.5288,38,1.91471,8,-1.8470,10,-1.5119
ENSG00000142599,RERE,105,-0.1288,109,-0.1845,133,0.24439,135,0.26722
ENSG00000074800,ENO1,325,-0.7556,498,-0.2047,277,-0.9995,1122,1.31961
ENSG00000171612,SLC25A33,25,-0.7747,31,-1.0018,35,-0.2289,125,2.01636
ENSG00000171603,CLSTN1,225,-1.8086,932,1.54289,346,-1.1625,387,-0.9921
ENSG00000178585,CTNNBIP1,22,-0.5809,28,-0.5719,61,1.06397,42,0.40563
ENSG00000162441,LZIC,127,1.12790,45,-1.2177,87,0.47095,104,0.76724
ENSG00000130939,UBE4B,74,0.76790,44,-0.2523,45,-0.0431,38,-0.3451
ENSG00000054523,KIF1B,560,0.59981,348,-0.4522,477,0.32844,391,0.00237
ENSG00000284642,AL139424.2,14,0.10462,14,0.08825,12,-0.1899,12,-0.1279
ENSG00000142657,PGD,57,0.11441,59,0.56481,35,-0.6709,29,-0.9533
ENSG00000241563,CORT,5,-3.5276,69,0.63841,42,-0.5949,86,0.56387
ENSG00000160049,DFFA,94,0.89356,44,-0.8042,76,0.52752,62,0.19262
ENSG00000142655,PEX14,13,-0.6190,22,0.50414,26,0.45578,7,-1.6216
ENSG00000120948,TARDBP,116,0.38929,88,-0.1574,79,-0.2351,100,0.14338
ENSG00000271895,AL109811.2,18,-0.0302,19,0.24955,12,-0.6282,18,0.01567
ENSG00000116649,SRM,28,-1.0677,59,0.20242,54,-0.0706,71,0.38428
ENSG00000171824,EXOSC10,41,0.16837,37,0.07969,17,-1.2093,49,0.45998
ENSG00000198793,MTOR,35,-0.6118,59,0.66704,21,-1.4019,55,0.10784
ENSG00000116661,FBXO2,66,-1.6658,178,-0.3662,203,0.06311,420,1.32517
ENSG00000132879,FBXO44,24,-2.0421,114,1.20134,88,-0.0800,36,-1.4622
ENSG00000177000,MTHFR,21,0.24527,18,0.10192,10,-0.9573,21,0.23565
ENSG00000011021,CLCN6,40,-0.7919,69,0.20139,73,0.15327,68,0.03723
ENSG00000116685,KIAA2013,48,0.87428,26,-0.3636,18,-0.7592,35,0.33625
ENSG00000083444,PLOD1,17,-0.0216,14,-0.8363,17,-0.0810,41,1.46344
ENSG00000116688,MFN2,89,-0.5961,149,0.67674,122,-0.1005,67,-1.0354
ENSG00000048707,VPS13D,52,-0.5000,79,0.47377,72,0.00459,46,-0.6860
ENSG00000162496,DHRS3,20,0.05030,11,-1.5397,7,-1.4110,76,2.61080
ENSG00000116731,PRDM2,174,-0.1675,206,0.31057,228,0.26925,97,-1.0685
ENSG00000189337,KAZN,87,0.40089,66,-0.1502,69,0.00540,64,-0.1111
ENSG00000142634,EFHD2,37,-0.7225,60,0.09167,98,0.83799,35,-0.8156
ENSG00000116138,DNAJC16,37,-0.2327,49,0.61138,19,-1.2258,38,-0.1747
ENSG00000197312,DDI2,34,-0.0933,37,0.14778,35,-0.0602,32,-0.1853
ENSG00000116786,PLEKHM2,48,-1.0821,81,-0.6289,233,1.54916,98,0.01970
ENSG00000065526,SPEN,220,0.82075,119,-0.4838,136,0.00596,145,0.11354
ENSG00000116809,ZBTB17,21,0.31012,13,-0.9448,28,0.79260,28,0.79548
ENSG00000037637,FBXO42,11,-0.8497,21,0.39514,15,-0.4487,22,0.21507
ENSG00000055070,SZRD1,34,0.68841,15,-1.3481,34,0.68337,46,1.21729
ENSG00000219481,NBPF1,38,1.67663,10,-1.1103,9,-0.6577,21,0.60964
ENSG00000159363,ATP13A2,23,-2.2965,130,1.35934,71,-0.5902,57,-0.9286
ENSG00000117118,SDHB,46,-0.8094,85,0.50181,56,-0.4898,78,0.02235
ENSG00000117115,PADI2,317,2.99365,15,-3.5763,34,-1.1279,193,1.80095
ENSG00000179051,RCC2,15,-0.8495,30,0.65711,23,-0.1732,18,-0.6022
ENSG00000074964,ARHGEF10L,12,-0.4806,13,-0.8506,21,0.38714,38,1.42595
ENSG00000117154,IGSF21,29,-1.2582,77,0.80488,55,-0.2964,48,-0.5142
ENSG00000159423,ALDH4A1,16,-0.2515,12,-1.3283,31,0.79564,49,1.66121
ENSG00000127481,UBR4,47,0.54685,33,-0.0918,20,-0.7793,38,0.19694
ENSG00000127463,EMC1,27,-0.3438,37,0.53168,15,-1.1839,34,0.05844
ENSG00000053372,MRTO4,28,-0.6098,44,0.37223,46,0.19007,29,-0.5604
ENSG00000053371,AKR7A2,42,0.21743,31,-0.6500,15,-1.3274,88,1.53056
ENSG00000077549,CAPZB,128,-0.5456,192,0.26703,150,-0.3017,200,0.16057
ENSG00000173436,MICOS10,203,-0.6866,309,-0.0577,524,0.86614,239,-0.4346
ENSG00000158747,NBL1,39,-1.8487,148,0.64113,150,0.22571,96,-0.4905
ENSG00000169914,OTUD3,12,-0.8708,26,1.26838,12,-0.8676,8,-1.4485
ENSG00000162545,CAMK2N1,1065,-1.0554,1878,-0.4133,3219,0.72765,3219,0.72757
ENSG00000090432,MUL1,17,-0.0199,20,0.80547,10,-0.7952,7,-1.3906
ENSG00000183114,FAM43B,2,-2.5022,15,0.83069,8,-0.6603,14,0.18682
ENSG00000158828,PINK1,169,-1.4389,494,0.75943,489,0.22146,218,-1.0551
ENSG00000244038,DDOST,23,-0.6680,37,0.36559,20,-0.8358,44,0.39542
ENSG00000117245,KIF17,6,-1.8510,27,2.10544,9,-1.1907,3,-2.7144
ENSG00000189410,SH2D5,1,-5.7245,60,1.45367,50,0.10371,14,-1.8462
ENSG00000127483,HP1BP3,405,0.76165,234,-0.3798,268,0.06808,240,-0.1156
ENSG00000075151,EIF4G3,232,-0.2197,315,0.89214,166,-0.7441,110,-1.3791
ENSG00000117298,ECE1,27,0.89277,11,-1.2602,14,-0.2099,38,1.48397
ENSG00000076864,RAP1GAP,53,-1.0914,130,1.16814,79,-0.4706,41,-1.4466
ENSG00000090686,USP48,135,0.89679,80,0.03037,48,-0.8016,52,-0.6674
ENSG00000070831,CDC42,259,0.29008,235,0.37380,117,-0.9631,167,-0.4170
ENSG00000173372,C1QA,15,-0.5213,10,-2.0498,25,0.31897,87,2.76458
ENSG00000173369,C1QB,27,0.43643,9,-2.1524,19,-0.1050,82,2.65743
ENSG00000133216,EPHB2,14,-0.0125,17,1.00151,8,-0.8620,3,-2.2718
ENSG00000004487,KDM1A,32,-0.9426,70,0.89486,37,-0.7495,43,-0.4915
ENSG00000169641,LUZP1,50,-1.6377,170,0.87265,170,0.27415,58,-1.4221
ENSG00000125944,HNRNPR,223,0.52242,157,-0.1497,145,-0.1827,154,-0.0858
ENSG00000117318,ID3,21,0.01404,1,-5.1853,9,-1.3177,150,4.89475
ENSG00000142676,RPL11,806,0.63957,405,-1.0470,799,0.62428,908,0.84729
ENSG00000011007,ELOA,49,0.81575,29,-0.1285,23,-0.3729,23,-0.4272
ENSG00000057757,PITHD1,106,-0.6907,193,0.86040,144,-0.2140,69,-1.3491
ENSG00000011009,LYPLA2,7,-1.5897,24,0.65111,12,-0.8903,27,0.36244
ENSG00000117308,GALE,4,-2.0888,19,0.90188,15,-0.1208,11,-0.5342
ENSG00000117305,HMGCL,18,0.28678,11,-1.0466,15,0.03423,35,1.50817
ENSG00000189266,PNRC2,90,0.49723,59,-0.4710,78,0.25778,77,0.24929
ENSG00000188529,SRSF10,100,0.62849,56,-0.7263,68,-0.0019,111,0.81047
ENSG00000001461,NIPAL3,265,1.33918,112,-0.3471,97,-0.3719,66,-0.9592
ENSG00000133226,SRRM1,345,1.15123,147,-0.6697,182,0.04779,177,0.00275
ENSG00000169504,CLIC4,338,3.57240,12,-3.7617,27,-1.2776,126,1.21212
ENSG00000117614,SYF2,160,0.57865,91,-0.7816,167,0.64955,143,0.39289
ENSG00000117616,RSRP1,136,1.11310,69,-0.1353,21,-1.8528,69,-0.0429
ENSG00000183726,TMEM50A,127,0.68726,85,0.03782,42,-1.0848,79,-0.1018
ENSG00000204178,MACO1,80,0.51515,62,0.29125,43,-0.4699,29,-1.0826
ENSG00000117643,MAN1C1,13,-2.1023,63,1.12940,25,-1.1329,48,-0.1096
ENSG00000162430,SELENON,29,0.17387,23,-0.5317,19,-0.4838,51,1.12249
ENSG00000117640,MTFR1L,43,-0.7445,74,0.37082,61,-0.1868,68,-0.0093
ENSG00000117632,STMN1,1310,-0.0803,1591,0.74583,1076,-0.3941,459,-1.6981
ENSG00000158008,EXTL1,5,-2.9424,46,1.22792,33,-0.2076,21,-0.9132
ENSG00000175087,PDIK1L,9,-0.8784,16,0.21441,19,0.38628,13,-0.2176
ENSG00000142684,ZNF593,14,-1.0814,31,0.46294,20,-0.5788,34,0.29776
ENSG00000142669,SH3BGRL3,107,-0.4260,147,0.21105,111,-0.3704,162,0.23660
ENSG00000158062,UBXN11,4,-2.5793,21,-0.1478,48,1.38419,17,-0.3380
ENSG00000117682,DHDDS,5,-1.6992,20,0.90235,13,-0.4031,13,-0.3803
ENSG00000198830,HMGN2,329,1.00130,127,-1.2109,186,0.03571,366,1.19712
ENSG00000117713,ARID1A,103,0.53597,68,-0.3766,83,0.18333,78,0.06870
ENSG00000204160,ZDHHC18,12,-0.4052,16,0.31281,21,0.49789,7,-1.2261
ENSG00000142751,GPN2,17,-0.2701,20,-0.0011,23,0.22778,20,0.01156
ENSG00000090273,NUDC,137,-0.7837,239,0.29098,300,0.47613,150,-0.6392
ENSG00000253368,TRNP1,12,-2.2129,67,1.37090,42,-0.3769,23,-1.3116
ENSG00000090020,SLC9A1,2,-3.4417,27,1.67610,15,-0.5451,8,-1.4069
ENSG00000142784,WDTC1,20,-0.3044,23,-0.3655,25,-0.0113,43,0.90383
ENSG00000186501,TMEM222,29,-0.3700,39,0.27219,26,-0.5336,41,0.19431
ENSG00000158195,WASF2,194,2.61169,17,-2.7172,36,-0.5041,113,1.43560
ENSG00000126705,AHDC1,26,-0.6692,40,-0.0749,47,0.23070,53,0.43069
ENSG00000126709,IFI6,113,0.17922,99,-0.0645,67,-0.6488,132,0.44627
ENSG00000009780,FAM76A,22,-0.2533,27,0.06715,21,-0.3736,33,0.38313
ENSG00000117758,STX12,117,0.06607,117,0.19149,106,-0.1003,85,-0.4398
ENSG00000117751,PPP1R8,39,0.56805,27,-0.1301,19,-0.5809,30,0.12830
ENSG00000117748,RPA2,31,-0.5715,48,0.30866,32,-0.5517,54,0.27572
ENSG00000126698,DNAJC8,292,0.32776,224,-0.2584,317,0.46751,196,-0.3154
ENSG00000130770,ATP5IF1,212,-1.4151,622,0.89798,474,-0.1666,315,-0.8093
ENSG00000204138,PHACTR4,62,1.41524,16,-1.5451,30,0.13721,55,1.19481
ENSG00000180098,TRNAU1AP,20,0.12128,17,-0.2456,20,0.16278,21,0.25413
ENSG00000120656,TAF12,24,0.71409,14,-0.4498,9,-0.9013,25,0.74209
ENSG00000198492,YTHDF2,65,-0.4737,100,0.64385,68,-0.4102,59,-0.6480
ENSG00000116329,OPRD1,0,-4.5753,16,1.65250,8,-0.7329,7,-0.9178
ENSG00000159023,EPB41,7,-1.4887,21,0.37630,20,-0.0152,22,0.19753
ENSG00000116350,SRSF4,86,0.22353,69,-0.2899,63,-0.2680,106,0.58585
ENSG00000116353,MECR,12,-1.2641,34,1.00891,24,-0.2636,14,-1.0960
ENSG00000060656,PTPRU,8,-0.6834,14,0.55280,14,0.22157,6,-1.1090
ENSG00000162511,LAPTM5,41,0.54407,13,-2.2274,44,0.69921,100,2.28061
ENSG00000162512,SDC3,77,-0.2462,82,-0.3623,69,-0.4219,170,1.09360
ENSG00000134644,PUM1,138,-0.0542,145,0.06302,139,-0.0496,140,-0.0388
ENSG00000060688,SNRNP40,28,0.85974,14,-0.6179,20,0.25538,18,0.11794
ENSG00000121766,ZCCHC17,127,-0.1491,152,0.41109,121,-0.2264,95,-0.6154
ENSG00000121769,FABP3,23,-1.9080,102,1.46962,65,-0.3202,21,-2.0302
ENSG00000162517,PEF1,45,-0.7763,88,0.97485,53,-0.5029,35,-1.1385
ENSG00000084636,COL16A1,70,1.42931,22,-1.0583,11,-1.5172,60,1.14366
ENSG00000121753,ADGRB2,41,-2.2724,220,1.04476,167,-0.1458,112,-0.7688
ENSG00000184007,PTP4A2,1047,2.48586,174,-1.5168,240,-0.2599,209,-0.4798
ENSG00000121774,KHDRBS1,221,0.39340,171,-0.0851,114,-0.6659,208,0.28932
ENSG00000025800,KPNA6,86,4.33393,92,0.29869,61,-0.5403,76,-0.1900
ENSG00000084652,TXLNA,36,0.41096,27,-0.1012,19,-0.6281,33,0.27991
ENSG00000160050,CCDC28B,8,-0.9269,16,0.13183,19,0.38906,15,-0.0018
ENSG00000084623,EIF3I,92,-0.2342,115,0.32289,70,-0.6727,112,0.08138
ENSG00000175130,MARCKSL1,1014,3.38873,58,-3.0482,126,-0.7214,300,0.69049
ENSG00000160058,BSDC1,69,0.47953,50,-0.0747,52,0.01143,39,-0.4350
ENSG00000160062,ZBTB8A,21,-0.0977,21,-0.2610,17,-0.4106,37,0.85237
ENSG00000176261,ZBTB8OS,30,-0.5686,50,0.76412,31,-0.5002,26,-0.7649
ENSG00000162521,RBBP4,134,0.17532,125,0.16437,74,-0.7645,126,0.07407
ENSG00000162522,KIAA1522,4,-2.3489,24,0.68966,33,0.77846,6,-1.7373
ENSG00000134684,YARS,43,-1.5503,149,1.47728,66,-0.8897,50,-1.3062
