Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,16,-1.2055,37,0.07645,14,-1.3991,13,-1.4265,18,-1.0147,48,0.49047,68,1.08179,29,-0.3130,38,0.13872,64,0.97768,46,0.43432
ENSG00000188976,NOC2L,12,-2.1280,23,-1.2044,56,0.16010,10,-2.4409,50,-0.0216,57,0.19351,56,0.15956,45,-0.1765,68,0.47703,108,1.25531,75,0.63156
ENSG00000188290,HES4,9,-2.0792,18,-1.0596,47,0.35905,12,-1.6815,191,3.00587,7,-2.5299,14,-1.4339,28,-0.4621,25,-0.6385,41,0.16191,27,-0.4897
ENSG00000187608,ISG15,30,-0.4063,29,-0.4775,51,0.41232,58,0.62700,123,1.94609,1,-5.0297,11,-1.8861,27,-0.5927,10,-1.9675,65,0.80661,38,-0.0585
ENSG00000188157,AGRN,15,-0.9372,18,-0.5991,42,0.68030,31,0.18649,63,1.38670,20,-0.4509,13,-1.1108,14,-1.0276,47,0.89859,19,-0.5579,29,0.12035
ENSG00000078808,SDF4,34,-0.8952,28,-1.1867,72,0.23630,78,0.36360,105,0.85349,72,0.22867,32,-1.0237,50,-0.3521,86,0.51525,75,0.29867,61,-0.0181
ENSG00000176022,B3GALT6,6,-1.9948,16,-0.6927,26,0.06401,21,-0.2413,19,-0.4273,36,0.60791,14,-0.8862,16,-0.7014,46,1.00147,60,1.46574,21,-0.2689
ENSG00000160087,UBE2J2,8,-2.0598,30,-0.0671,46,0.59994,22,-0.5732,19,-0.7889,29,-0.1416,26,-0.2953,35,0.15585,55,0.88515,46,0.58822,30,-0.0873
ENSG00000131584,ACAP3,80,-0.1386,65,-0.4561,120,0.50841,61,-0.5641,135,0.69203,124,0.56062,28,-1.6908,50,-0.9314,169,1.07356,98,0.17358,70,-0.3415
ENSG00000127054,INTS11,34,-0.5725,14,-1.8954,34,-0.5922,26,-0.9806,132,1.61936,50,-0.0008,40,-0.3471,37,-0.5024,92,0.99181,59,0.25376,45,-0.1714
ENSG00000107404,DVL1,21,-1.5024,43,-0.4443,106,0.99450,56,-0.0357,89,0.71142,23,-1.3769,19,-1.6876,57,0.00509,143,1.52273,37,-0.6764,36,-0.7130
ENSG00000175756,AURKAIP1,83,-0.8939,100,-0.6126,184,0.33818,148,-0.0069,167,0.17800,90,-0.7692,115,-0.3926,210,0.61636,132,-0.1826,154,0.05284,192,0.40665
ENSG00000221978,CCNL2,64,0.01184,24,-1.4663,42,-0.6523,32,-1.0348,123,1.07373,132,1.20124,34,-0.9481,62,-0.0347,64,0.01568,39,-0.7459,84,0.43685
ENSG00000242485,MRPL20,67,-1.0363,162,0.31050,117,-0.1924,132,-0.0065,141,0.08855,71,-0.9541,87,-0.6576,213,0.86207,154,0.22808,134,0.00977,104,-0.3772
ENSG00000235098,ANKRD65,26,-0.2797,35,0.19329,31,-0.0207,18,-0.7992,14,-1.1999,30,-0.0680,10,-1.7409,39,0.41354,45,0.58329,59,1.04020,27,-0.2241
ENSG00000179403,VWA1,68,1.66858,8,-1.5934,53,1.24341,60,1.43312,59,1.42418,4,-2.5003,5,-2.2606,13,-1.0695,7,-1.9186,2,-3.6965,7,-1.8654
ENSG00000205090,TMEM240,6,-2.1853,27,-0.0330,17,-0.7318,22,-0.3510,11,-1.3947,21,-0.4716,30,0.11359,25,-0.1903,48,0.86183,65,1.38662,38,0.48548
