Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,39,-0.0789,28,-0.5687,72,1.05511,41,0.02201,39,-0.0521,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.41958,35,-0.4978,47,-0.0825,38,-0.4164,68,0.67301,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,16,-1.3874,34,-0.1692,31,-0.3561,39,0.05521,54,0.72681,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,15,-1.5865,31,-0.4068,23,-0.9230,37,-0.1195,68,1.12358,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,14,-0.4699,11,-0.7571,17,-0.0730,11,-0.7885,22,0.41715,33,0.96944,22,0.29182
ENSG00000078808,SDF4,43,-0.4445,39,-0.5704,83,0.70078,39,-0.6228,59,0.09322,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,21,-0.0730,22,0.02060,21,-0.0698,18,-0.2771,27,0.45125,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,32,-0.0325,23,-0.5706,35,0.09975,20,-0.8350,49,0.82058,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,92,0.57154,66,-0.0261,85,0.42299,35,-1.0661,66,-0.0319,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,40,0.16681,21,-0.8233,28,-0.4218,28,-0.4413,49,0.61101,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,17,0.08300,22,0.51054,14,-0.1892,10,-0.7068,24,0.87084,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,29,-0.9379,54,0.07255,70,0.54838,33,-0.7353,57,0.18723,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,83,-0.8813,172,0.31031,105,-0.4905,151,0.12424,214,0.87603,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,78,0.54202,32,-0.8829,39,-0.6580,34,-0.8903,64,0.19929,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,67,-1.0326,195,0.69062,109,-0.2491,134,0.10269,158,0.44703,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,7,-1.9426,39,0.75951,22,-0.1250,16,-0.6711,37,0.87130,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,12,-1.0025,9,-1.3874,16,-0.5672,4,-2.4086,13,-0.9326,47,1.23406,107,2.84790
