Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,5,-3.0310,29,-0.4724,49,0.38747,32,-0.3614,58,0.66324,59,0.70774,59,0.70828
ENSG00000188976,NOC2L,13,-2.0175,49,-0.0079,24,-1.0809,53,0.15919,89,0.97409,61,0.34071,48,-0.0310
ENSG00000188290,HES4,9,-1.7637,27,-0.0703,10,-1.5239,52,1.49576,15,-0.9270,12,-1.2355,26,-0.1452
ENSG00000187608,ISG15,22,-0.3822,21,-0.5305,16,-0.8948,43,0.98877,30,0.11654,12,-1.2707,30,0.09957
ENSG00000188157,AGRN,12,-0.5958,15,-0.2514,11,-0.6465,25,0.78335,12,-0.6032,20,0.22685,14,-0.2779
ENSG00000078808,SDF4,33,-0.8216,47,-0.2896,40,-0.5241,81,0.85609,56,0.00345,44,-0.3619,46,-0.3018
ENSG00000176022,B3GALT6,8,-1.5131,14,-0.7455,12,-0.8682,33,0.94341,37,0.87802,8,-1.4593,25,0.22838
ENSG00000160087,UBE2J2,21,-0.8851,38,0.06173,17,-1.2185,48,0.54481,49,0.46751,23,-0.7223,41,0.15046
ENSG00000131584,ACAP3,28,-1.5116,83,0.14817,25,-1.7022,105,0.70531,64,-0.2892,97,0.37612,70,-0.1362
ENSG00000127054,INTS11,19,-1.0321,24,-0.7159,8,-2.2117,55,0.89154,51,0.51566,40,0.12219,39,0.07942
ENSG00000224051,CPTP,7,-1.2861,14,-0.3210,5,-1.6719,20,0.31155,32,1.06357,12,-0.4670,25,0.62059
ENSG00000107404,DVL1,25,-1.1127,64,0.39734,53,0.03854,65,0.50535,36,-0.5478,38,-0.4642,40,-0.4017
