Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,41,0.86286,22,-0.8628
ENSG00000188976,NOC2L,50,0.24616,42,-0.2461
ENSG00000188290,HES4,34,0.44068,25,-0.4406
ENSG00000187608,ISG15,40,-0.5156,58,0.51565
ENSG00000078808,SDF4,51,0.93300,27,-0.9330
ENSG00000176022,B3GALT6,22,0.66491,13,-0.6649
ENSG00000160087,UBE2J2,33,0.54442,23,-0.5444
ENSG00000131584,ACAP3,66,-0.0763,69,0.07638
ENSG00000127054,INTS11,38,0.71313,23,-0.7131
ENSG00000224051,CPTP,19,0.31013,15,-0.3101
ENSG00000107404,DVL1,52,0.90194,27,-0.9019
ENSG00000175756,AURKAIP1,123,1.31568,49,-1.3156
ENSG00000221978,CCNL2,52,-0.0977,56,0.09779
ENSG00000242485,MRPL20,113,0.36798,87,-0.3679
ENSG00000235098,ANKRD65,26,2.40134,4,-2.4013
ENSG00000205090,TMEM240,29,-0.1086,32,0.10864
ENSG00000160075,SSU72,137,1.43916,50,-1.4391
ENSG00000228594,FNDC10,31,1.17414,13,-1.1741
ENSG00000272106,AL691432.2,22,2.08607,5,-2.0860
ENSG00000197530,MIB2,32,0.92134,17,-0.9213
ENSG00000248333,CDK11B,47,-1.2622,114,1.26229
ENSG00000189339,SLC35E2B,32,1.13625,14,-1.1362
ENSG00000008128,CDK11A,15,-2.3578,79,2.35786
ENSG00000008130,NADK,25,0.29619,20,-0.2961
ENSG00000078369,GNB1,542,1.09768,253,-1.0976
ENSG00000187730,GABRD,202,1.01259,100,-1.0125
ENSG00000067606,PRKCZ,204,0.88181,110,-0.8818
ENSG00000162585,FAAP20,39,0.51136,27,-0.5113
ENSG00000157933,SKI,52,-0.3603,66,0.36037
ENSG00000157916,RER1,43,0.78549,25,-0.7854
ENSG00000157911,PEX10,18,0.64079,12,-0.6407
ENSG00000157870,PRXL2B,49,0.97758,25,-0.9775
ENSG00000177133,PRDM16-DT,25,0.46710,18,-0.4671
ENSG00000158109,TPRG1L,185,1.72197,56,-1.7219
ENSG00000130764,LRRC47,73,1.41521,27,-1.4152
ENSG00000116198,CEP104,33,-1.3665,85,1.36655
ENSG00000196581,AJAP1,59,0.59184,39,-0.5918
ENSG00000069424,KCNAB2,161,1.58911,53,-1.5891
ENSG00000116254,CHD5,332,-0.4307,448,0.43071
ENSG00000116251,RPL22,394,-0.0550,410,0.05501
ENSG00000116237,ICMT,37,1.24445,15,-1.2444
ENSG00000097021,ACOT7,176,1.87577,47,-1.8757
ENSG00000171680,PLEKHG5,27,1.26077,11,-1.2607
ENSG00000162408,NOL9,35,0.26975,29,-0.2697
ENSG00000162413,KLHL21,31,1.46004,11,-1.4600
ENSG00000007923,DNAJC11,44,0.83312,25,-0.8331
ENSG00000171735,CAMTA1,494,0.70234,303,-0.7023
ENSG00000049245,VAMP3,15,-1.4354,41,1.43545
ENSG00000049246,PER3,36,-0.2589,44,0.25896
ENSG00000116288,PARK7,213,1.31545,85,-1.3154
ENSG00000116285,ERRFI1,27,1.93415,7,-1.9341
ENSG00000162426,SLC45A1,23,1.98821,5,-1.9882
ENSG00000142599,RERE,128,-0.6251,197,0.62510
ENSG00000074800,ENO1,366,1.21989,157,-1.2198
ENSG00000171612,SLC25A33,34,3.03011,4,-3.0301
ENSG00000171603,CLSTN1,681,1.43616,251,-1.4361
ENSG00000178585,CTNNBIP1,33,1.49129,11,-1.4912
ENSG00000162441,LZIC,53,-0.8890,99,0.88906
ENSG00000130939,UBE4B,39,0.15647,35,-0.1564
ENSG00000054523,KIF1B,484,0.06071,464,-0.0607
ENSG00000142657,PGD,49,2.11571,11,-2.1157
ENSG00000241563,CORT,36,1.02416,18,-1.0241
ENSG00000160049,DFFA,67,-0.2154,78,0.21542
ENSG00000142655,PEX14,18,1.55434,6,-1.5543
ENSG00000120948,TARDBP,75,-0.0494,78,0.04942
ENSG00000116649,SRM,46,0.94206,24,-0.9420
ENSG00000171824,EXOSC10,29,-0.9460,57,0.94609
ENSG00000198793,MTOR,29,-0.5078,42,0.50784
ENSG00000116661,FBXO2,127,0.81680,72,-0.8168
ENSG00000132879,FBXO44,82,0.86037,45,-0.8603
ENSG00000177000,MTHFR,30,-0.5846,45,0.58460
ENSG00000011021,CLCN6,72,1.10006,34,-1.1000
ENSG00000116685,KIAA2013,29,0.38925,22,-0.3892
ENSG00000116688,MFN2,128,0.36755,99,-0.3675
ENSG00000048707,VPS13D,82,0.19085,72,-0.1908
ENSG00000162496,DHRS3,19,-0.4720,26,0.47200
ENSG00000116731,PRDM2,296,-0.5367,429,0.53670
ENSG00000189337,KAZN,67,0.11897,62,-0.1189
ENSG00000142634,EFHD2,104,0.56113,70,-0.5611
ENSG00000116138,DNAJC16,40,0.83200,22,-0.8320
ENSG00000197312,DDI2,51,0.69482,31,-0.6948
ENSG00000116786,PLEKHM2,124,0.60693,81,-0.6069
ENSG00000065526,SPEN,154,-1.1942,353,1.19429
ENSG00000116809,ZBTB17,18,-0.1911,21,0.19115
ENSG00000037637,FBXO42,20,-0.3945,26,0.39458
ENSG00000055070,SZRD1,26,-0.5598,38,0.55989
ENSG00000159363,ATP13A2,91,1.86035,25,-1.8603
ENSG00000117118,SDHB,43,1.35400,17,-1.3540
ENSG00000117115,PADI2,43,-1.3073,106,1.30734
ENSG00000179051,RCC2,23,1.10550,11,-1.1055
ENSG00000074964,ARHGEF10L,19,0.54836,13,-0.5483
ENSG00000117154,IGSF21,56,1.27983,23,-1.2798
ENSG00000159423,ALDH4A1,21,1.08511,10,-1.0851
ENSG00000127481,UBR4,40,-1.4633,110,1.46339
ENSG00000127463,EMC1,39,0.71008,23,-0.7100
ENSG00000053372,MRTO4,47,0.22821,40,-0.2282
ENSG00000053371,AKR7A2,25,0.16567,23,-0.1656
ENSG00000077549,CAPZB,143,0.60643,94,-0.6064
ENSG00000173436,MICOS10,223,0.61964,145,-0.6196
ENSG00000158747,NBL1,147,1.01086,73,-1.0108
ENSG00000169914,OTUD3,21,0.34431,16,-0.3443
ENSG00000162545,CAMK2N1,1630,0.90534,870,-0.9053
ENSG00000090432,MUL1,23,1.98894,5,-1.9889
ENSG00000158828,PINK1,398,1.01883,196,-1.0188
ENSG00000244038,DDOST,19,0.67878,12,-0.6787
ENSG00000117245,KIF17,23,1.80450,6,-1.8045
ENSG00000189410,SH2D5,42,1.72573,12,-1.7257
ENSG00000127483,HP1BP3,299,-0.3947,393,0.39472
ENSG00000075151,EIF4G3,254,-0.0006,254,0.00065
ENSG00000117298,ECE1,20,-0.3891,26,0.38910
ENSG00000076864,RAP1GAP,112,0.97922,57,-0.9792
ENSG00000090686,USP48,74,-0.8451,134,0.84519
ENSG00000070831,CDC42,161,0.67618,101,-0.6761
ENSG00000173372,C1QA,15,-2.2374,73,2.23743
ENSG00000173369,C1QB,15,-2.7408,102,2.74084
ENSG00000133216,EPHB2,16,-0.3828,21,0.38286
ENSG00000004487,KDM1A,57,0.28973,46,-0.2897
ENSG00000169641,LUZP1,216,0.58142,144,-0.5814
ENSG00000125944,HNRNPR,142,0.02625,140,-0.0262
ENSG00000117318,ID3,15,-0.8875,28,0.88754
ENSG00000142676,RPL11,317,0.06891,302,-0.0689
ENSG00000011007,ELOA,25,-0.9834,49,0.98341
ENSG00000057757,PITHD1,158,1.46865,57,-1.4686
ENSG00000011009,LYPLA2,23,1.03906,11,-1.0390
ENSG00000189266,PNRC2,56,0.64508,36,-0.6450
ENSG00000188529,SRSF10,61,-0.5165,87,0.51653
ENSG00000001461,NIPAL3,127,-0.8335,227,0.83355
ENSG00000133226,SRRM1,172,-1.7321,573,1.73216
ENSG00000169504,CLIC4,18,-2.1919,86,2.19191
ENSG00000117614,SYF2,122,-0.2361,143,0.23612
ENSG00000117616,RSRP1,52,0.01791,51,-0.0179
