Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,14,0.34901,17,0.81925,0,-5.4068,8,-0.5119,9,-0.3641,13,0.21210,11,-0.1012
ENSG00000228794,LINC01128,35,0.08577,50,0.98596,8,-2.1074,24,-0.4729,36,0.15733,21,-0.6857,17,-0.9748
ENSG00000188976,NOC2L,81,0.77077,63,0.45865,28,-0.8985,42,-0.3160,47,-0.1393,30,-0.8099,44,-0.2181
ENSG00000188290,HES4,19,-0.3665,26,0.21405,6,-2.0752,47,1.13117,32,0.51783,14,-0.7665,10,-1.3318
ENSG00000187608,ISG15,1,-4.5552,43,0.69144,2,-4.0385,40,0.38476,43,0.60048,34,0.12540,22,-0.5640
ENSG00000188157,AGRN,19,-0.5656,28,0.01429,19,-0.5756,45,0.77106,24,-0.2609,34,0.30149,30,0.09746
ENSG00000078808,SDF4,46,-0.4091,61,0.03439,35,-0.8348,75,0.36030,59,-0.0403,78,0.42928,65,0.13256
ENSG00000176022,B3GALT6,33,0.59731,23,0.07684,9,-1.3568,25,0.19062,24,0.08234,25,0.19203,15,-0.5897
ENSG00000160087,UBE2J2,32,-0.1655,40,0.23217,39,0.10818,71,1.13073,23,-0.7492,24,-0.6423,27,-0.4246
ENSG00000131584,ACAP3,105,0.53140,72,-0.1099,65,-0.2245,87,0.23525,52,-0.6551,94,0.35148,86,0.20770
ENSG00000127054,INTS11,25,-0.4627,40,0.38226,19,-0.9041,43,0.39594,29,-0.2686,31,-0.1489,41,0.30177
ENSG00000224051,CPTP,16,0.08696,17,0.28867,11,-0.4240,10,-0.5735,16,0.14371,17,0.19011,11,-0.4349
ENSG00000107404,DVL1,39,-0.2252,39,-0.2803,21,-1.1770,66,0.63105,41,-0.1650,84,1.04628,40,-0.1724
ENSG00000175756,AURKAIP1,115,-0.4641,205,0.61838,89,-0.8663,138,-0.1886,186,0.33270,137,-0.1986,84,-0.9435
ENSG00000221978,CCNL2,75,0.41367,64,0.19411,25,-1.2769,52,-0.1629,39,-0.7007,73,0.37202,87,0.65525
ENSG00000242485,MRPL20,85,-0.6922,141,0.13460,117,-0.1947,134,0.02017,180,0.57891,92,-0.5699,112,-0.2690
ENSG00000235098,ANKRD65,14,-1.1204,28,-0.1426,29,-0.0435,21,-0.5521,50,0.99452,17,-0.8812,34,0.22004
ENSG00000179403,VWA1,12,-1.5318,10,-2.1520,43,0.35276,36,0.07013,18,-1.0917,47,0.48984,142,2.62320
ENSG00000197785,ATAD3A,24,0.90556,16,0.27726,7,-1.0477,7,-0.9438,12,-0.2303,16,0.19336,13,-0.1353
ENSG00000205090,TMEM240,45,0.94624,32,0.46725,40,0.74635,22,-0.2538,18,-0.6324,8,-1.6585,9,-1.5569
ENSG00000160075,SSU72,104,-0.3377,148,0.29816,98,-0.4291,129,0.00124,174,0.56507,87,-0.6202,78,-0.7905
ENSG00000228594,FNDC10,27,-0.0663,37,0.54539,7,-2.1268,46,0.77309,31,0.13807,30,0.06562,4,-2.8712
ENSG00000272106,AL691432.2,17,-0.1321,19,0.07680,17,-0.0932,9,-0.9894,24,0.52243,11,-0.7836,23,0.35563
ENSG00000197530,MIB2,27,-0.4068,28,-0.4282,58,0.85915,50,0.58801,43,0.37850,17,-1.0900,26,-0.4471
ENSG00000248333,CDK11B,72,0.42401,47,-0.3154,75,0.50609,38,-0.5881,28,-1.1144,64,0.24363,105,1.07053
ENSG00000189339,SLC35E2B,36,0.86140,23,0.13639,12,-0.8743,25,0.23046,26,0.35734,1,-3.7727,19,-0.1908
ENSG00000008128,CDK11A,32,0.84842,12,-0.9233,9,-1.1726,15,-0.3320,10,-1.0565,27,0.57504,53,1.74645
ENSG00000008130,NADK,22,-0.0936,17,-0.6181,24,-0.0040,31,0.41149,38,0.90029,10,-1.3498,24,-0.0162
ENSG00000078369,GNB1,348,-0.3885,451,0.02770,405,-0.1498,496,0.17403,617,0.61705,418,-0.1002,196,-1.2643
ENSG00000187730,GABRD,177,0.14004,287,1.40523,49,-1.8311,113,-0.5686,165,0.03258,72,-1.2480,17,-3.3240
ENSG00000067606,PRKCZ,285,0.29427,272,0.28821,237,-0.0031,274,0.23451,237,-0.0007,152,-0.7021,136,-0.8707
ENSG00000162585,FAAP20,19,-1.0301,26,-0.7051,52,0.50722,42,0.15810,55,0.69170,37,-0.0547,42,0.14293
ENSG00000157933,SKI,32,0.19410,19,-0.7107,29,0.05952,48,0.87387,19,-0.7095,36,0.39723,42,0.62754
ENSG00000157916,RER1,32,-0.7078,62,0.45281,42,-0.2625,43,-0.2471,56,0.19850,30,-0.8031,57,0.20332
ENSG00000157911,PEX10,9,-1.0112,18,0.08158,11,-0.6172,26,0.69037,14,-0.2974,20,0.25147,22,0.43140
ENSG00000157870,PRXL2B,39,-0.1313,54,0.55261,25,-0.8205,52,0.33211,42,0.00021,38,-0.1680,21,-1.0778
