Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,20,-0.8859,12,-1.6402,31,-0.2630,26,-0.5390,53,0.58673,42,0.20277,32,-0.2224,63,0.85605,53,0.57068,33,-0.1617,36,-0.0317,40,0.14347
ENSG00000188976,NOC2L,27,-0.8744,26,-0.9248,41,-0.2464,49,0.05665,54,0.19062,34,-0.4926,21,-1.2590,65,0.48650,68,0.56408,28,-0.7898,85,0.93002,74,0.70617
ENSG00000188290,HES4,9,-2.1162,37,-0.0323,55,0.60794,32,-0.2612,27,-0.4967,50,0.45121,43,0.20824,43,0.20851,18,-1.1262,31,-0.2927,49,0.41975,57,0.67774
ENSG00000187608,ISG15,11,-1.8866,33,-0.2599,52,0.44816,84,1.23433,15,-1.4379,39,-0.0237,52,0.41988,29,-0.4733,88,1.30583,10,-1.9608,6,-2.6484,54,0.49898
ENSG00000188157,AGRN,15,-0.3420,15,-0.3138,18,-0.0496,12,-0.6192,15,-0.2962,31,0.81250,18,-0.0502,24,0.36897,14,-0.4009,21,0.22445,15,-0.3062,24,0.39848
ENSG00000078808,SDF4,78,0.36526,58,-0.0869,70,0.20883,50,-0.3263,34,-0.8900,45,-0.4692,56,-0.1614,93,0.66332,42,-0.5935,56,-0.1620,104,0.84929,53,-0.2387
ENSG00000176022,B3GALT6,18,-0.4743,32,0.40978,27,0.17362,22,-0.1578,16,-0.6803,32,0.44835,9,-1.5447,32,0.43745,20,-0.3021,35,0.55551,21,-0.2204,29,0.28459
ENSG00000160087,UBE2J2,27,-0.2507,24,-0.4124,32,0.00274,22,-0.5892,13,-1.3656,28,-0.1793,26,-0.3247,59,1.00725,34,0.12816,40,0.35578,27,-0.2730,50,0.71044
ENSG00000131584,ACAP3,65,-0.1273,50,-0.5098,99,0.54071,51,-0.4960,85,0.29227,75,0.10100,68,-0.0596,109,0.70160,47,-0.6168,66,-0.1014,89,0.37302,41,-0.8397
ENSG00000127054,INTS11,63,0.70353,26,-0.6676,21,-1.0128,41,-0.0049,27,-0.6173,37,-0.1694,25,-0.7568,71,0.90235,44,0.13667,28,-0.5995,53,0.42335,53,0.40711
ENSG00000224051,CPTP,13,-0.5715,17,-0.1639,19,0.05231,10,-0.9009,12,-0.6557,15,-0.2662,14,-0.4451,28,0.64950,38,1.15684,16,-0.1752,19,0.07566,20,0.15690
ENSG00000107404,DVL1,16,-1.7962,97,0.97208,97,0.95874,50,-0.0998,22,-1.3090,79,0.61432,57,0.09056,52,-0.0435,23,-1.2632,44,-0.2971,67,0.34864,38,-0.5414
