Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,8,-2.2275,37,0.05458,63,0.92263,41,0.28774,30,-0.2979,33,-0.1904
ENSG00000188976,NOC2L,13,-1.6874,53,0.39735,53,0.40993,52,0.51555,27,-0.6394,36,-0.2577
ENSG00000188290,HES4,15,-1.9619,96,0.90556,69,0.35644,51,-0.1589,24,-1.2955,66,0.35937
ENSG00000187608,ISG15,31,-0.2037,51,0.56706,29,-0.3046,35,-0.0201,21,-0.8304,40,0.21540
ENSG00000188157,AGRN,15,-0.5533,19,-0.1657,45,1.24811,23,0.11783,9,-1.2177,19,-0.2297
ENSG00000078808,SDF4,46,-0.2739,77,0.56694,69,0.38236,61,0.25214,26,-1.1079,47,-0.2788
ENSG00000176022,B3GALT6,3,-2.6399,22,0.17540,19,-0.0910,22,0.20272,13,-0.6377,25,0.51350
ENSG00000160087,UBE2J2,23,-0.7228,55,0.67006,43,0.29334,50,0.71598,11,-1.7241,27,-0.5937
ENSG00000131584,ACAP3,37,-0.8028,70,0.21014,118,1.08008,69,0.22556,12,-2.3980,58,-0.1291
ENSG00000127054,INTS11,28,-0.4028,69,1.03804,49,0.45732,36,-0.0763,16,-1.2666,33,-0.2038
ENSG00000224051,CPTP,6,-1.4929,22,0.48397,21,0.35762,21,0.49131,7,-1.3719,16,-0.0990
ENSG00000107404,DVL1,26,-0.9623,26,-0.9899,45,-0.1063,48,-0.0112,27,-0.9058,72,0.90466
ENSG00000175756,AURKAIP1,88,-0.9312,200,0.35704,142,-0.1959,178,0.21896,98,-0.7652,181,0.25109
ENSG00000221978,CCNL2,47,-0.0350,47,-0.0083,61,0.40276,59,0.43813,9,-2.5264,46,-0.0810
ENSG00000242485,MRPL20,93,-0.8137,173,0.16077,132,-0.2680,149,-0.1010,103,-0.6540,206,0.60200
ENSG00000179403,VWA1,86,1.97969,51,0.99519,8,-1.8137,20,-0.6434,10,-1.4705,21,-0.5249
