Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,8,-2.2275,37,0.05458,63,0.92263,39,0.12573,42,0.30002,30,-0.2979,43,0.29638,27,-0.4692
ENSG00000188976,NOC2L,13,-1.6874,53,0.39735,53,0.40993,35,-0.2537,61,0.74074,27,-0.6394,36,-0.1941,36,-0.2336
ENSG00000188290,HES4,15,-1.9619,96,0.90556,69,0.35644,15,-1.9438,69,0.40980,24,-1.2955,51,-0.1467,73,0.51744
ENSG00000187608,ISG15,31,-0.2037,51,0.56706,29,-0.3046,11,-1.7202,47,0.52417,21,-0.8304,58,0.79171,31,-0.2779
ENSG00000188157,AGRN,15,-0.5533,19,-0.1657,45,1.24811,11,-0.9719,28,0.51947,9,-1.2177,18,-0.2772,20,-0.1519
ENSG00000078808,SDF4,46,-0.2739,77,0.56694,69,0.38236,31,-0.8814,77,0.64492,26,-1.1079,48,-0.1978,47,-0.2599
ENSG00000176022,B3GALT6,3,-2.6399,22,0.17540,19,-0.0910,11,-0.8406,27,0.57888,13,-0.6377,27,0.51614,24,0.35640
ENSG00000160087,UBE2J2,23,-0.7228,55,0.67006,43,0.29334,38,0.06145,56,0.84052,11,-1.7241,23,-0.7145,28,-0.4165
ENSG00000131584,ACAP3,37,-0.8028,70,0.21014,118,1.08008,31,-1.0669,87,0.66206,12,-2.3980,45,-0.5002,64,0.07724
ENSG00000127054,INTS11,28,-0.4028,69,1.03804,49,0.45732,25,-0.6011,41,0.18042,16,-1.2666,39,0.07004,31,-0.3212
ENSG00000224051,CPTP,6,-1.4929,22,0.48397,21,0.35762,4,-2.0322,29,1.10382,7,-1.3719,8,-0.9991,19,0.28204
ENSG00000107404,DVL1,26,-0.9623,26,-0.9899,45,-0.1063,49,0.00783,48,-0.0191,27,-0.9058,54,0.17731,81,1.00137
ENSG00000175756,AURKAIP1,88,-0.9312,200,0.35704,142,-0.1959,79,-1.0984,228,0.66219,98,-0.7652,248,0.70988,148,-0.1490
ENSG00000221978,CCNL2,47,-0.0350,47,-0.0083,61,0.40276,44,-0.1186,66,0.59791,9,-2.5264,45,-0.0826,46,-0.0604
ENSG00000242485,MRPL20,93,-0.8137,173,0.16077,132,-0.2680,105,-0.6285,171,0.16103,103,-0.6540,315,1.17752,151,-0.0614
ENSG00000179403,VWA1,86,1.97969,51,0.99519,8,-1.8137,16,-0.8601,22,-0.4180,10,-1.4705,12,-1.2909,26,-0.1292
ENSG00000205090,TMEM240,2,-3.1740,17,-0.5117,61,1.62027,24,0.03323,28,0.32842,6,-1.9063,48,1.16752,11,-1.3134
ENSG00000160075,SSU72,63,-1.1395,140,0.10137,104,-0.3778,102,-0.3984,171,0.49063,97,-0.4873,162,0.33515,153,0.27818
