Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,22,-0.3161,1,-4.6475,7,-1.9383,21,-0.4067,52,1.10677,33,0.33301,62,1.40486,30,0.15080,26,-0.0588,16,-0.8319
ENSG00000188976,NOC2L,15,-1.4087,17,-1.2120,41,0.14274,5,-2.9966,62,0.81328,50,0.45588,54,0.58948,40,0.08419,33,-0.1936,60,0.75933
ENSG00000188290,HES4,33,-0.1662,24,-0.6396,7,-2.3681,10,-1.9580,56,0.68652,47,0.39527,29,-0.3562,82,1.37105,48,0.45221,29,-0.3496
ENSG00000187608,ISG15,43,0.42128,56,0.86817,15,-1.1658,11,-1.6060,8,-2.0758,23,-0.5415,44,0.47474,42,0.37668,40,0.32790,46,0.55860
ENSG00000188157,AGRN,22,-0.0385,25,0.13621,23,-0.0143,2,-3.4425,27,0.26078,35,0.71198,22,-0.0539,21,-0.1370,17,-0.4400,34,0.65282
ENSG00000078808,SDF4,38,-0.8055,62,-0.0564,67,0.05245,6,-3.4007,101,0.72793,67,0.06640,62,-0.0719,146,1.39302,41,-0.7186,55,-0.2476
ENSG00000160087,UBE2J2,35,-0.0746,20,-0.8865,22,-0.7993,12,-1.6068,33,-0.1453,55,0.68553,35,-0.0732,73,1.15619,49,0.47986,30,-0.3228
ENSG00000131584,ACAP3,65,-0.3362,41,-1.0489,55,-0.6105,24,-1.8511,172,1.27492,107,0.45226,57,-0.5553,104,0.40853,94,0.23948,90,0.17980
ENSG00000127054,INTS11,38,-0.1668,39,-0.1092,39,-0.1170,10,-2.1890,51,0.31668,65,0.72689,42,0.00351,48,0.20212,46,0.16128,41,-0.0183
ENSG00000107404,DVL1,25,-1.4286,36,-0.8931,39,-0.7554,29,-1.1949,42,-0.6310,106,0.84585,35,-0.9285,123,1.09740,110,0.89801,92,0.59478
ENSG00000175756,AURKAIP1,70,-0.9509,138,0.11228,87,-0.6229,59,-1.2054,92,-0.5318,180,0.54271,154,0.29109,140,0.13736,246,1.08683,122,-0.0826
ENSG00000221978,CCNL2,79,0.64569,57,0.09016,66,0.33813,13,-2.0909,76,0.58091,61,0.20318,47,-0.2176,60,0.19763,43,-0.3446,32,-0.7756
ENSG00000242485,MRPL20,75,-0.7367,119,-0.0187,102,-0.2638,94,-0.3913,99,-0.3125,190,0.74267,107,-0.1922,118,-0.0323,182,0.66832,121,0.00403
ENSG00000235098,ANKRD65,25,0.37430,21,0.15039,39,1.16290,0,-4.8984,12,-0.7869,36,0.99440,5,-1.9147,19,-0.0257,14,-0.4575,23,0.26462
ENSG00000179403,VWA1,51,-0.2007,134,1.42995,256,2.81088,11,-2.5304,9,-2.7850,12,-2.3556,9,-2.7409,58,-0.0110,22,-1.4895,19,-1.6744
ENSG00000205090,TMEM240,5,-1.9412,12,-0.6259,4,-2.2182,5,-1.8984,12,-0.6251,65,2.21293,20,0.06778,16,-0.2522,16,-0.2799,33,0.90051
ENSG00000160075,SSU72,55,-1.2355,59,-1.1297,70,-0.8642,27,-2.2948,162,0.46161,195,0.78013,150,0.34244,200,0.82134,174,0.58722,126,0.05307
ENSG00000228594,FNDC10,7,-1.5569,8,-1.4897,5,-2.0942,7,-1.6835,16,-0.4392,44,1.19076,34,0.73996,13,-0.7547,33,0.72025,47,1.30724
ENSG00000197530,MIB2,20,-0.8079,31,-0.1301,18,-0.9341,0,-5.3629,23,-0.5854,57,0.88240,51,0.68211,55,0.79685,48,0.58543,32,-0.0726
ENSG00000248333,CDK11B,94,1.24213,61,0.48488,40,-0.1728,75,0.84644,19,-1.3080,47,0.08531,28,-0.7258,11,-2.1027,48,0.11918,25,-0.8833
ENSG00000008128,CDK11A,66,1.46263,32,0.24245,32,0.21889,22,-0.3924,53,1.06504,21,-0.4661,11,-1.4558,21,-0.4665,6,-2.2422,16,-0.8657
ENSG00000008130,NADK,17,-0.3471,22,0.06004,8,-1.3653,16,-0.4043,24,0.21451,38,0.96971,28,0.46812,23,0.12333,17,-0.2852,17,-0.3653
